LSOA11CD,IDAOPI_2019,IDAOPI_2025_pred,confidence,boundary_changed,change,pct_change
E01000001,0.012,0.03838617412507515,1.0,0,0.026386174125075147,219.88478437562623
E01000002,0.03,0.047999748430034,1.0,0,0.017999748430034004,59.99916143344668
E01000003,0.128,0.20116079503864243,1.0,0,0.07316079503864242,57.15687112393939
E01000005,0.322,0.6019386469540648,1.0,0,0.27993864695406484,86.93746799815678
E01000006,0.162,0.21554925671360084,1.0,0,0.053549256713600835,33.05509673679064
E01000007,0.371,0.707646789136148,1.0,0,0.336646789136148,90.74037443022857
E01000008,0.468,0.6510536932018354,1.0,0,0.18305369320183534,39.11403700893917
E01000009,0.383,0.42789417605243296,1.0,0,0.044894176052432955,11.721716984969438
E01000010,0.519,0.598548725462248,0.75,1,0.079548725462248,15.327307410837765
E01000011,0.362,0.45143200291788177,1.0,0,0.08943200291788178,24.7049731817353
E01000012,0.331,0.4696711431266442,1.0,0,0.1386711431266442,41.89460517421275
E01000013,0.265,0.3887709491890864,1.0,0,0.12377094918908638,46.706018561919386
E01000014,0.28,0.3753187176313799,1.0,0,0.09531871763137989,34.04239915406424
E01000015,0.31,0.42320429879219557,1.0,0,0.11320429879219557,36.517515739417924
E01000016,0.267,0.38899395709580586,1.0,0,0.12199395709580585,45.69062063513328
E01000017,0.293,0.4032444758058613,1.0,0,0.11024447580586133,37.626100957631856
E01000018,0.236,0.34817658907994936,1.0,0,0.11217658907994937,47.53245299997855
E01000019,0.289,0.3706565576277004,1.0,0,0.08165655762770041,28.2548642310382
E01000020,0.338,0.4212558989340729,1.0,0,0.08325589893407287,24.63192276156002
E01000021,0.352,0.48739976188927026,1.0,0,0.13539976188927028,38.46584144581542
E01000022,0.231,0.3467479398999723,1.0,0,0.11574793989997231,50.1073332900313
E01000023,0.321,0.43504089833835735,0.75,1,0.11404089833835734,35.5267596069649
E01000024,0.269,0.36042437023303087,1.0,0,0.09142437023303085,33.986754733468715
E01000025,0.286,0.34382260390859404,1.0,0,0.05782260390859406,20.21769367433359
E01000027,0.231,0.38734567048443336,1.0,0,0.15634567048443335,67.68210843481963
E01000028,0.431,0.49196929302541814,1.0,0,0.06096929302541815,14.146007662510012
E01000029,0.145,0.1637097558252252,1.0,0,0.018709755825225216,12.903279879465668
E01000030,0.253,0.41942240774073725,1.0,0,0.16642240774073724,65.77960780266294
E01000031,0.197,0.20897360690638894,1.0,0,0.011973606906388934,6.077973048928393
E01000032,0.191,0.25328840911259765,1.0,0,0.06228840911259764,32.61173251968463
E01000033,0.252,0.38835842270807197,1.0,0,0.13635842270807197,54.11048520161586
E01000034,0.313,0.35879561937363763,1.0,0,0.04579561937363763,14.631188298286784
E01000035,0.189,0.23245424599172904,1.0,0,0.043454245991729035,22.99166454588838
E01000036,0.116,0.16184075790110525,1.0,0,0.04584075790110524,39.5178947423321
E01000037,0.107,0.1054740752142834,1.0,0,-0.0015259247857166008,-1.4260979305762624
E01000038,0.164,0.17031583835351566,1.0,0,0.0063158383535156515,3.851120947265641
E01000039,0.196,0.20563133080865706,1.0,0,0.009631330808657051,4.913944290131148
E01000040,0.317,0.4375658673475702,1.0,0,0.12056586734757019,38.03339663961205
E01000041,0.225,0.360148849404517,1.0,0,0.13514884940451702,60.066155290896454
E01000042,0.365,0.5188317809043498,1.0,0,0.1538317809043498,42.145693398451996
E01000043,0.247,0.3534789599263195,1.0,0,0.1064789599263195,43.10889065842895
E01000044,0.178,0.2850870753438065,1.0,0,0.10708707534380651,60.161278283037376
E01000045,0.267,0.39274532838333215,1.0,0,0.12574532838333213,47.09562860798956
E01000046,0.249,0.36955192636567213,1.0,0,0.12055192636567214,48.41442825930608
E01000048,0.517,0.742544720094407,0.75,1,0.22554472009440696,43.625671198144474
E01000049,0.393,0.6222692160908443,1.0,0,0.22926921609084427,58.338222923878945
E01000050,0.325,0.4366973586308082,1.0,0,0.11169735863080821,34.36841804024868
E01000051,0.309,0.7038896826642969,1.0,0,0.39488968266429686,127.79601380721581
E01000052,0.294,0.38497618220792895,1.0,0,0.09097618220792897,30.944279662560877
E01000053,0.331,0.4477127162013068,1.0,0,0.1167127162013068,35.26063933574223
E01000054,0.222,0.36928265963198564,1.0,0,0.14728265963198564,66.34354037476831
E01000055,0.277,0.35684500692527743,1.0,0,0.0798450069252774,28.824912247392565
E01000056,0.245,0.37087808747778317,1.0,0,0.12587808747778317,51.378811215421706
E01000057,0.212,0.33565818740690323,1.0,0,0.12365818740690324,58.32933368250153
E01000058,0.32,0.41784330539329784,1.0,0,0.09784330539329783,30.57603293540557
E01000059,0.256,0.35217126895509127,1.0,0,0.09617126895509126,37.56690193558252
E01000060,0.265,0.412896910002301,1.0,0,0.14789691000230099,55.81015471784942
E01000061,0.47,0.7185333278743475,1.0,0,0.24853332787434756,52.879431462627146
E01000062,0.208,0.2924134909931407,1.0,0,0.08441349099314069,40.58340913131764
E01000063,0.2,0.3041197344086369,1.0,0,0.10411973440863687,52.05986720431843
E01000064,0.236,0.322675512974992,1.0,0,0.08667551297499199,36.72691227753898
E01000065,0.311,0.4800436318745851,1.0,0,0.1690436318745851,54.35486555452898
E01000066,0.263,0.3064771384949278,1.0,0,0.04347713849492779,16.531231366892694
E01000067,0.242,0.2866314225982486,1.0,0,0.044631422598248593,18.442736610846527
E01000068,0.261,0.2477309192048176,1.0,0,-0.013269080795182409,-5.083939001985597
E01000069,0.182,0.18731102071326672,1.0,0,0.005311020713266723,2.91814324904765
E01000070,0.178,0.17666715815055473,1.0,0,-0.0013328418494452654,-0.7487875558681266
