LSOA11CD,LivingEnv_2019,LivingEnv_2025_pred,confidence,boundary_changed,change,pct_change
E01000001,31.873,55.631610207783744,1.0,0,23.758610207783743,74.54149345145969
E01000002,23.084,41.06864182992757,1.0,0,17.984641829927572,77.90955566594859
E01000003,40.535,41.46005615620032,1.0,0,0.9250561562003199,2.282117074627655
E01000005,28.979,37.32627456584291,1.0,0,8.347274565842909,28.804563876748364
E01000006,26.888,29.269663590779494,1.0,0,2.3816635907794925,8.85771939444917
E01000007,25.995,27.12830084873778,1.0,0,1.133300848737779,4.35968781972602
E01000008,30.233,29.24759940117607,1.0,0,-0.9854005988239294,-3.2593543440079693
E01000009,28.601,37.581556907575965,1.0,0,8.980556907575966,31.399450744994812
E01000010,47.932,38.81908236564998,0.75,1,-9.11291763435002,-19.012178991800923
E01000011,39.857,47.089728764383665,1.0,0,7.2327287643836655,18.146696350411887
E01000012,36.881,29.814195565085743,1.0,0,-7.066804434914257,-19.161097678789233
E01000013,30.424,28.937377312667355,1.0,0,-1.4866226873326447,-4.886348564727336
E01000014,25.122,24.431256662755104,1.0,0,-0.6907433372448963,-2.749555518051494
E01000015,25.696,21.4953906929347,1.0,0,-4.200609307065303,-16.34732762712213
E01000016,24.95,23.700466103237794,1.0,0,-1.2495338967622054,-5.008151890830483
E01000017,27.688,23.80082222326032,1.0,0,-3.88717777673968,-14.039214738297025
E01000018,25.659,19.76609271342904,1.0,0,-5.89290728657096,-22.966239084028842
E01000019,26.826,24.732144076346067,1.0,0,-2.0938559236539334,-7.805322909319068
E01000020,30.078,28.041163686009952,1.0,0,-2.0368363139900474,-6.771847576268527
E01000021,44.214,34.67972004675536,1.0,0,-9.534279953244642,-21.563938918090745
E01000022,30.435,22.3044128426574,1.0,0,-8.1305871573426,-26.714595555586005
E01000023,39.968,35.452785552146935,0.75,1,-4.515214447853069,-11.297073778655594
E01000024,29.869,24.885266379392544,1.0,0,-4.983733620607456,-16.6853045652933
E01000025,28.042,23.382217937025136,1.0,0,-4.659782062974866,-16.617153066738698
E01000027,20.329,12.850943117387086,1.0,0,-7.478056882612915,-36.78516839299973
E01000028,16.282,17.058650511820513,1.0,0,0.7766505118205131,4.7699945450221914
E01000029,21.974,21.93321853980672,1.0,0,-0.040781460193279884,-0.18558960677746375
E01000030,20.993,17.82122930313182,1.0,0,-3.1717706968681796,-15.108706220493401
E01000031,27.703,28.711953888243226,1.0,0,1.0089538882432265,3.6420383649540717
E01000032,38.369,31.830967443742477,1.0,0,-6.538032556257523,-17.039882603814338
E01000033,21.763,14.952017264107026,1.0,0,-6.810982735892976,-31.29615740427779
E01000034,18.01,15.301543885138576,1.0,0,-2.7084561148614252,-15.03862362499403
E01000035,23.071,27.719788440236055,1.0,0,4.6487884402360535,20.149921720931268
E01000036,27.612,26.829935481472162,1.0,0,-0.7820645185278359,-2.83233564583455
E01000037,19.057,16.985414114702838,1.0,0,-2.0715858852971607,-10.870472190256393
E01000038,27.001,21.496190217435334,1.0,0,-5.504809782564667,-20.38742928989544
E01000039,17.527,16.55982612725674,1.0,0,-0.9671738727432597,-5.518194059127402
E01000040,29.323,30.509315374492864,1.0,0,1.1863153744928638,4.045682141980233
E01000041,33.127,23.385076477839707,1.0,0,-9.741923522160295,-29.407804878679915
E01000042,24.75,23.555832174232517,1.0,0,-1.194167825767483,-4.824920508151447
E01000043,33.853,29.725645878391695,1.0,0,-4.127354121608306,-12.191989252380308
E01000044,44.13,38.53335181222653,1.0,0,-5.596648187773475,-12.682184880519996
E01000045,35.245,30.73602819159069,1.0,0,-4.5089718084093064,-12.793224027264312
E01000046,30.26,20.7658139847208,1.0,0,-9.494186015279201,-31.37536687137872
E01000048,20.578,25.57641806642011,0.75,1,4.998418066420111,24.29010626115323
E01000049,26.588,31.756326452541586,1.0,0,5.168326452541585,19.438567972549965
E01000050,36.588,34.27480686777443,1.0,0,-2.313193132225571,-6.322272691116133
E01000051,27.521,28.292683980790464,1.0,0,0.7716839807904634,2.8039823436301856
E01000052,38.532,38.17062636927257,1.0,0,-0.361373630727428,-0.9378532926591613
E01000053,26.503,26.287537291607556,1.0,0,-0.21546270839244386,-0.8129747892406288
E01000054,31.481,20.73550845469031,1.0,0,-10.74549154530969,-34.13325988789965
E01000055,29.369,22.781367950418243,1.0,0,-6.587632049581757,-22.43056300719043
E01000056,23.506,20.256202531666794,1.0,0,-3.249797468333206,-13.82539550894753
E01000057,30.046,25.011155928391837,1.0,0,-5.034844071608163,-16.75711932239953
E01000058,27.809,23.199830372925014,1.0,0,-4.609169627074987,-16.574381053166196
E01000059,32.699,19.263730887525327,1.0,0,-13.435269112474671,-41.08770639002621
E01000060,24.729,24.59088816062681,1.0,0,-0.13811183937318816,-0.5585015139034663
E01000061,15.967,24.869893216481607,1.0,0,8.902893216481607,55.75808365053928
E01000062,20.153,21.081653813039154,1.0,0,0.9286538130391548,4.608017729564605
E01000063,35.452,23.77231196552635,1.0,0,-11.67968803447365,-32.94507512826822
E01000064,34.175,27.3734472951744,1.0,0,-6.801552704825596,-19.90212934842896
E01000065,29.31,25.476382941516604,1.0,0,-3.8336170584833944,-13.079553253099265
E01000066,17.916,19.516570384770922,1.0,0,1.600570384770922,8.933748519596572
E01000067,21.711,25.546815611313654,1.0,0,3.835815611313656,17.66761370417602
E01000068,31.382,29.748535365820437,1.0,0,-1.633464634179564,-5.205100484926276
E01000069,28.36,22.102386977231177,1.0,0,-6.2576130227688225,-22.06492603233012
E01000070,27.639,29.02649800239297,1.0,0,1.3874980023929702,5.020073093791274
E01000071,22.064,25.041240658601986,1.0,0,2.9772406586019855,13.493657807296888
E01000072,30.082,31.70828630048149,1.0,0,1.626286300481489,5.406177449908546
E01000073,23.636,23.607082489906276,1.0,0,-0.028917510093723564,-0.12234519416874076
E01000074,22.806,21.783873621582835,1.0,0,-1.0221263784171661,-4.481831002443068
E01000075,39.815,26.747662065148884,1.0,0,-13.067337934851114,-32.82013797526338
E01000076,27.02,25.422925359805568,1.0,0,-1.5970746401944318,-5.910712954087461
E01000077,35.02,31.272177424248362,1.0,0,-3.7478225757516412,-10.701949102660311
E01000078,33.091,26.26485131955016,1.0,0,-6.82614868044984,-20.62841461560497
E01000079,29.325,23.240305614667008,1.0,0,-6.084694385332991,-20.74917096447738
E01000080,24.492,21.748522766543186,1.0,0,-2.743477233456815,-11.201523899464377
