LSOA11CD,Education_2019,Education_2025_pred,confidence,boundary_changed,change,pct_change
E01000001,0.024,0.9454405437037543,1.0,0,0.9214405437037543,3839.3355987656428
E01000002,0.063,0.5442735732393973,1.0,0,0.4812735732393973,763.926306729202
E01000003,5.804,6.196793403634911,1.0,0,0.39279340363491055,6.7676327297538
E01000005,22.26,20.454599394838166,1.0,0,-1.8054006051618359,-8.110514847986684
E01000006,14.798,21.85814771893422,1.0,0,7.060147718934219,47.71014812092323
E01000007,11.385,19.835907949306037,1.0,0,8.450907949306037,74.22844048577986
E01000008,25.506,25.714907819951584,1.0,0,0.20890781995158392,0.8190536342491332
E01000009,15.713,27.911489197801355,1.0,0,12.198489197801356,77.63310123974644
E01000010,11.762,18.912751944945786,0.75,1,7.150751944945785,60.795374468166855
E01000011,22.519,35.44837113417825,1.0,0,12.929371134178254,57.41538760237246
E01000012,19.774,27.205944977184032,1.0,0,7.431944977184031,37.58442893286149
E01000013,24.003,26.92263276328068,1.0,0,2.9196327632806813,12.163616061661797
E01000014,31.501,28.966946253333305,1.0,0,-2.5340537466666966,-8.044359692284996
E01000015,26.013,27.88598618730414,1.0,0,1.8729861873041393,7.200192931627029
E01000016,28.996,29.65485298597053,1.0,0,0.6588529859705297,2.2722202578649804
E01000017,22.899,28.49920324168206,1.0,0,5.60020324168206,24.456103942015197
E01000018,26.358,28.521534157792267,1.0,0,2.1635341577922667,8.208263744564332
E01000019,26.111,27.83739551093263,1.0,0,1.7263955109326297,6.61175562380847
E01000020,24.184,26.134251307201236,1.0,0,1.9502513072012349,8.064221415817213
E01000021,31.637,31.75933984443232,1.0,0,0.12233984443231805,0.38669862639415253
E01000022,27.111,26.265795881084316,1.0,0,-0.8452041189156851,-3.117568953250286
E01000023,22.994,25.51183202389624,0.75,1,2.51783202389624,10.949952265357224
E01000024,29.298,29.08292343220682,1.0,0,-0.2150765677931794,-0.7340998286339662
E01000025,25.691,29.32484630540721,1.0,0,3.6338463054072108,14.144433090993777
E01000027,38.122,36.58603279915654,1.0,0,-1.5359672008434586,-4.029083471075648
E01000028,27.699,27.706921326651397,1.0,0,0.007921326651395333,0.028597879531374173
E01000029,17.349,18.950883282252242,1.0,0,1.601883282252242,9.23328884807333
E01000030,38.753,32.43733168417589,1.0,0,-6.315668315824112,-16.29723715795967
E01000031,12.953,14.917281219656065,1.0,0,1.9642812196560655,15.1646816927049
E01000032,23.035,24.63549440938432,1.0,0,1.6004944093843214,6.948098152308754
E01000033,32.037,32.953063196188225,1.0,0,0.916063196188226,2.859391316878066
E01000034,33.858,30.53073535188566,1.0,0,-3.327264648114337,-9.827115151852848
E01000035,25.536,28.210208346324976,1.0,0,2.674208346324974,10.472307120633513
E01000036,15.969,21.385774322588745,1.0,0,5.416774322588745,33.920560602346704
E01000037,20.288,17.9399059374568,1.0,0,-2.3480940625432005,-11.573807484932967
E01000038,18.702,20.28909585252017,1.0,0,1.587095852520168,8.486235977543405
E01000039,19.753,19.041349604480917,1.0,0,-0.7116503955190829,-3.6027458893286233
E01000040,31.332,32.23603061876759,1.0,0,0.9040306187675924,2.8853268823170954
E01000041,33.867,30.784857650097486,1.0,0,-3.0821423499025116,-9.100724451243133
E01000042,31.45,29.80253470358644,1.0,0,-1.6474652964135608,-5.238363422618635
E01000043,28.946,29.94713640577574,1.0,0,1.001136405775739,3.4586347190483626
E01000044,22.263,28.067078623288374,1.0,0,5.8040786232883725,26.070514410853757
E01000045,24.013,26.863813987889124,1.0,0,2.850813987889122,11.871960970678892
E01000046,28.185,27.10023710909138,1.0,0,-1.0847628909086175,-3.8487241117921505
E01000048,26.49,28.265305764775803,0.75,1,1.7753057647758048,6.701796016518705
E01000049,27.852,29.880602381201797,1.0,0,2.0286023812017966,7.283507041511548
E01000050,22.642,26.25018523344376,1.0,0,3.608185233443759,15.935806171909546
E01000051,28.197,20.549409467478604,1.0,0,-7.647590532521395,-27.12200068277262
E01000052,27.403,31.43853452026442,1.0,0,4.03553452026442,14.726615772960699
E01000053,27.703,27.46621480036604,1.0,0,-0.23678519963396027,-0.8547276455039536
E01000054,26.697,26.28055116458105,1.0,0,-0.41644883541895084,-1.5599087366331454
E01000055,27.143,27.606492900078813,1.0,0,0.46349290007881194,1.7075964339933387
E01000056,25.304,28.451573502517583,1.0,0,3.1475735025175844,12.439035340331904
E01000057,31.462,31.03697326040368,1.0,0,-0.4250267395963192,-1.35092091919242
E01000058,25.845,29.750117861538058,1.0,0,3.9051178615380593,15.109761507208587
E01000059,28.14,27.868973091988146,1.0,0,-0.27102690801185503,-0.9631375551238629
E01000060,25.54,27.64376487087569,1.0,0,2.1037648708756898,8.237137317445928
E01000061,39.776,34.005496700566354,1.0,0,-5.770503299433649,-14.507500249984032
E01000062,30.73,27.668835721579438,1.0,0,-3.061164278420563,-9.961484797984259
E01000063,37.624,34.002766902575445,1.0,0,-3.6212330974245575,-9.624795602340413
E01000064,24.438,27.637124851827156,1.0,0,3.1991248518271576,13.0907801449675
E01000065,26.185,28.556644934281593,1.0,0,2.371644934281594,9.05726535910481
E01000066,18.294,21.791637400339226,1.0,0,3.497637400339226,19.119041217553438
E01000067,15.99,19.918775555734232,1.0,0,3.928775555734232,24.570203600589316
E01000068,16.187,21.55967037314548,1.0,0,5.372670373145478,33.19126690026242
E01000069,16.481,16.81931183691027,1.0,0,0.3383118369102682,2.052738528671004
E01000070,14.434,18.946838647177657,1.0,0,4.512838647177658,31.265336339044325
E01000071,14.114,17.239262638912653,1.0,0,3.125262638912652,22.142997299933768
