LSOA11CD,Income_2019,Income_2025_pred,confidence,boundary_changed,change,pct_change
E01000001,0.007,0.02670039172230578,1.0,0,0.019700391722305782,281.43416746151115
E01000002,0.034,0.04063678656857097,1.0,0,0.006636786568570967,19.519960495796962
E01000003,0.086,0.14639513298257634,1.0,0,0.060395132982576344,70.22689881694924
E01000005,0.211,0.2940970130507744,1.0,0,0.08309701305077441,39.382470640177445
E01000006,0.117,0.3296028876884056,1.0,0,0.21260288768840563,181.7118698191501
E01000007,0.207,0.47305792750863984,1.0,0,0.2660579275086399,128.53039976262795
E01000008,0.265,0.5062641826298997,1.0,0,0.24126418262989968,91.04308778486781
E01000009,0.187,0.4031786388190387,1.0,0,0.2161786388190387,115.60355017060893
E01000010,0.169,0.4419359843676178,0.75,1,0.2729359843676178,161.500582466046
E01000011,0.167,0.4313108067495244,1.0,0,0.26431080674952434,158.2699441613918
E01000012,0.239,0.5015600198665549,1.0,0,0.26256001986655486,109.85774889814012
E01000013,0.213,0.4083879269479605,1.0,0,0.1953879269479605,91.73142110232888
E01000014,0.201,0.3718098382324733,1.0,0,0.1708098382324733,84.98001902113099
E01000015,0.216,0.4298052033436839,1.0,0,0.2138052033436839,98.98389043689069
E01000016,0.199,0.36861170515460256,1.0,0,0.16961170515460255,85.2320126405038
E01000017,0.25,0.412615694486286,1.0,0,0.162615694486286,65.0462777945144
E01000018,0.212,0.39606960686730075,1.0,0,0.18406960686730076,86.82528625816074
E01000019,0.194,0.4202043975762757,1.0,0,0.2262043975762757,116.60020493622457
E01000020,0.216,0.4023574021593407,1.0,0,0.18635740215934068,86.27657507376883
E01000021,0.23,0.43657969095264726,1.0,0,0.20657969095264725,89.81725693593359
E01000022,0.195,0.4052389246137089,1.0,0,0.2102389246137089,107.81483313523533
E01000023,0.228,0.40799533690472556,0.75,1,0.17999533690472555,78.94532320382699
E01000024,0.155,0.3811318502901415,1.0,0,0.22613185029014152,145.89151631622033
E01000025,0.219,0.3944580024608495,1.0,0,0.1754580024608495,80.11780934285366
E01000027,0.216,0.40814641794286133,1.0,0,0.19214641794286133,88.95667497354692
E01000028,0.26,0.4549487177023569,1.0,0,0.1949487177023569,74.98027603936804
E01000029,0.113,0.2393017265151695,1.0,0,0.12630172651516952,111.77143939395533
E01000030,0.264,0.45430571617227994,1.0,0,0.19030571617227993,72.08549855010602
E01000031,0.126,0.26089302586359786,1.0,0,0.13489302586359786,107.05795703460147
E01000032,0.146,0.31207364396597975,1.0,0,0.16607364396597976,113.74907120957519
E01000033,0.257,0.45315881271720526,1.0,0,0.19615881271720526,76.32638627128608
E01000034,0.216,0.35589913239266635,1.0,0,0.13989913239266635,64.76811684845664
