LSOA11CD,AdultSkills_2019,AdultSkills_2025_pred,confidence,boundary_changed,change,pct_change
E01000061,0.49,0.35993469426069546,1.0,0,-0.13006530573930453,-26.543939946796844
E01000062,0.393,0.3258566466139373,1.0,0,-0.0671433533860627,-17.084822744545217
E01000063,0.424,0.33551941907441796,1.0,0,-0.08848058092558203,-20.868061539052366
E01000064,0.407,0.3384272462098733,1.0,0,-0.06857275379012667,-16.848342454576578
E01000065,0.397,0.35228631729061904,1.0,0,-0.044713682709380975,-11.262892370121152
E01000066,0.374,0.3327775361119597,1.0,0,-0.041222463888040295,-11.022049167925212
E01000067,0.361,0.3109143786012948,1.0,0,-0.050085621398705205,-13.874133351441884
E01000068,0.348,0.333949417311976,1.0,0,-0.01405058268802395,-4.0375237609264225
E01000069,0.366,0.3029693237840255,1.0,0,-0.06303067621597447,-17.221496233872806
E01000070,0.344,0.2911603771430845,1.0,0,-0.05283962285691546,-15.360355481661472
E01000071,0.332,0.2967443655361533,1.0,0,-0.03525563446384672,-10.619167007182746
E01000072,0.442,0.35887724238974056,1.0,0,-0.08312275761025945,-18.80605375797725
E01000073,0.444,0.34237975046694413,1.0,0,-0.10162024953305587,-22.8874435885261
E01000074,0.412,0.3501081639468103,1.0,0,-0.06189183605318965,-15.022290304172246
E01000075,0.44,0.3634284433163393,1.0,0,-0.07657155668366072,-17.4026265190138
E01000076,0.472,0.3876508456921882,1.0,0,-0.08434915430781176,-17.87058353979063
E01000077,0.463,0.3597411499919947,1.0,0,-0.10325885000800533,-22.302127431534625
E01000078,0.431,0.36559984048908356,1.0,0,-0.06540015951091643,-15.174050930607061
E01000079,0.413,0.33808646732289793,1.0,0,-0.07491353267710205,-18.138869897603403
E01000080,0.424,0.3392283912037847,1.0,0,-0.08477160879621531,-19.993303961371534
E01000081,0.437,0.35176599861667335,1.0,0,-0.08523400138332665,-19.504348142637678
E01000082,0.43,0.34103170797369897,1.0,0,-0.08896829202630102,-20.690300471232796
E01000083,0.407,0.367162982562888,1.0,0,-0.03983701743711199,-9.787964972263389
E01000084,0.435,0.3708504357573238,1.0,0,-0.0641495642426762,-14.747026262684184
E01000085,0.455,0.37858176824424394,1.0,0,-0.07641823175575607,-16.79521577049584
E01000086,0.411,0.3639283600240627,1.0,0,-0.047071639975937274,-11.45295376543486
E01000087,0.432,0.36007436945741794,1.0,0,-0.07192563054258205,-16.649451514486586
E01000088,0.378,0.3391234537386541,1.0,0,-0.0388765462613459,-10.284800598239656
E01000089,0.407,0.34183530685706665,1.0,0,-0.06516469314293333,-16.010981116199837
E01000090,0.382,0.3427826598946126,1.0,0,-0.03921734010538741,-10.266319399316076
E01000091,0.45,0.3597724754878821,1.0,0,-0.09022752451211791,-20.050561002692866
E01000092,0.341,0.3089060433395619,0.75,1,-0.03209395666043813,-9.411717495729656
E01000093,0.391,0.3694788121909449,1.0,0,-0.021521187809055098,-5.5041401046176714
E01000094,0.26,0.262851318615582,1.0,0,0.002851318615581966,1.0966610059930637
E01000095,0.348,0.3079476637080163,1.0,0,-0.04005233629198368,-11.509292037926347
E01000096,0.426,0.33817970423738164,1.0,0,-0.08782029576261835,-20.615092902023086
E01000097,0.436,0.3501881998920378,1.0,0,-0.08581180010796219,-19.681605529349127
E01000098,0.443,0.3495980040860043,1.0,0,-0.09340199591399573,-21.08397198961529
E01000099,0.416,0.32115717087703366,1.0,0,-0.09484282912296632,-22.798757000713056
E01000100,0.421,0.33534178657244196,1.0,0,-0.08565821342755803,-20.346368985168176
E01000101,0.431,0.3488978989302552,1.0,0,-0.0821021010697448,-19.049211385091603
E01000102,0.403,0.3391437571042475,1.0,0,-0.06385624289575254,-15.845221562221472
E01000103,0.425,0.3329669614407017,1.0,0,-0.09203303855929829,-21.65483260218783
E01000104,0.428,0.32153900444605205,1.0,0,-0.10646099555394795,-24.87406438176354
E01000105,0.436,0.35512404934557507,1.0,0,-0.08087595065442493,-18.54952996661122
E01000106,0.377,0.3512414424117394,1.0,0,-0.025758557588260622,-6.832508644100961
E01000107,0.405,0.324226002061342,1.0,0,-0.08077399793865803,-19.944197021890872
E01000108,0.376,0.32656224819734647,1.0,0,-0.04943775180265353,-13.148338245386578
E01000109,0.39,0.32793576385150836,0.75,1,-0.06206423614849166,-15.913906704741452
E01000110,0.328,0.2573398891416057,1.0,0,-0.0706601108583943,-21.54271672512021
E01000111,0.372,0.3198242801338941,1.0,0,-0.05217571986610592,-14.025731146802666
E01000112,0.332,0.29682620711256835,1.0,0,-0.035173792887431665,-10.594515929949296
E01000113,0.315,0.2896023644272898,1.0,0,-0.025397635572710187,-8.062741451654027
