LSOA11CD,IDACI_2019,IDACI_2025_pred,confidence,boundary_changed,change,pct_change
E01000001,0.006,0.0502317496091913,1.0,0,0.0442317496091913,737.195826819855
E01000002,0.037,0.06825770478920773,1.0,0,0.03125770478920773,84.48028321407494
E01000003,0.052,0.26064309710843253,1.0,0,0.20864309710843254,401.23672520852415
E01000005,0.209,0.5156558059939049,1.0,0,0.30665580599390496,146.72526602579185
E01000006,0.155,0.5553633974433041,1.0,0,0.40036339744330407,258.29896609245424
E01000007,0.253,0.634387072338842,1.0,0,0.38138707233884195,150.7458783947992
E01000008,0.298,0.636205994590342,1.0,0,0.338205994590342,113.49194449340335
E01000009,0.194,0.5686527192779766,1.0,0,0.37465271927797655,193.11995839070957
E01000010,0.22,0.6211425782642431,0.75,1,0.40114257826424315,182.33753557465596
E01000011,0.189,0.6137254610505487,1.0,0,0.4247254610505487,224.72246616431147
E01000012,0.299,0.6431767395217654,1.0,0,0.34417673952176536,115.10927743202855
E01000013,0.243,0.5529291551770193,1.0,0,0.30992915517701936,127.54286221276517
E01000014,0.203,0.49467632381841303,1.0,0,0.291676323818413,143.68291813714924
E01000015,0.25,0.5978586498419205,1.0,0,0.3478586498419205,139.1434599367682
E01000016,0.251,0.49988087834446293,1.0,0,0.24888087834446293,99.1557284240888
E01000017,0.318,0.521414342286054,1.0,0,0.20341434228605398,63.96677430379056
E01000018,0.284,0.5424293559731899,1.0,0,0.2584293559731899,90.99625210323588
E01000019,0.196,0.5320375418656089,1.0,0,0.3360375418656089,171.4477254416372
E01000020,0.231,0.4951372807393162,1.0,0,0.2641372807393162,114.34514317719315
E01000021,0.291,0.5756286461205128,1.0,0,0.2846286461205128,97.810531312891
E01000022,0.248,0.5388947422454807,1.0,0,0.29089474224548073,117.29626703446804
E01000023,0.322,0.5907873076915193,0.75,1,0.2687873076915193,83.47431915885693
E01000024,0.156,0.5245780300670502,1.0,0,0.36857803006705014,236.26796799169878
E01000025,0.278,0.5399169216881692,1.0,0,0.26191692168816916,94.21472003171552
E01000027,0.276,0.5407774554755291,1.0,0,0.2647774554755291,95.93386067953952
E01000028,0.269,0.5665599489048284,1.0,0,0.2975599489048284,110.61708137725962
E01000029,0.126,0.39377154108456514,1.0,0,0.26777154108456513,212.51709609886123
E01000030,0.344,0.5717811428641775,1.0,0,0.2277811428641775,66.21544850702836
E01000031,0.168,0.386076922305865,1.0,0,0.21807692230586498,129.80769184872915
E01000032,0.169,0.4538898100466439,1.0,0,0.28488981004664393,168.57385209860587
E01000033,0.345,0.581371009100818,1.0,0,0.23637100910081799,68.51333597125159
E01000034,0.249,0.4820018531178102,1.0,0,0.2330018531178102,93.57504141277518
E01000035,0.221,0.5099086168982405,1.0,0,0.28890861689824054,130.7278809494301
E01000036,0.169,0.45113903207253236,1.0,0,0.2821390320725323,166.9461728239836
E01000037,0.128,0.2804988144255849,1.0,0,0.15249881442558488,119.13969876998819
E01000038,0.204,0.3632869880162458,1.0,0,0.15928698801624583,78.08185687070875
E01000039,0.165,0.37438700165928795,1.0,0,0.20938700165928795,126.90121312684117
E01000040,0.262,0.6041912829728737,1.0,0,0.3421912829728737,130.60735991331057
E01000041,0.198,0.5531921901956629,1.0,0,0.3551921901956629,179.38999504831457
E01000042,0.286,0.6681586738239095,1.0,0,0.3821586738239095,133.62191392444387
E01000043,0.165,0.48870531378202153,1.0,0,0.3237053137820215,196.1850386557706
E01000044,0.171,0.6004217450293312,1.0,0,0.42942174502933117,251.1238275025328
E01000045,0.217,0.5703776862331521,1.0,0,0.35337768623315213,162.84686001527749
