LSOA11CD,Indoors_2019,Indoors_2025_pred,confidence,boundary_changed,change,pct_change
E01000001,0.006,0.7854356937440716,1.0,0,0.7794356937440716,12990.594895734526
E01000002,-0.41,0.27156906728691677,1.0,0,0.6815690672869168,-166.23635787485776
E01000003,-0.054,0.22087051671942579,1.0,0,0.2748705167194258,-509.0194754063441
E01000005,-0.604,-0.027750226606175914,1.0,0,0.5762497733938241,-95.40559162149407
E01000006,0.11,0.2535108249371089,1.0,0,0.14351082493710893,130.46438630646267
E01000007,-0.28,-0.370401911828629,1.0,0,-0.090401911828629,32.28639708165321
E01000008,-0.587,-0.2736801142616748,1.0,0,0.31331988573832514,-53.3764711649617
E01000009,-0.107,0.33499118817020573,1.0,0,0.4419911881702057,-413.07587679458476
E01000010,0.931,0.14941218956121174,0.75,1,-0.7815878104387883,-83.95142969267329
E01000011,0.652,0.8230517989499286,1.0,0,0.1710517989499286,26.234938489252855
E01000012,0.433,0.0034304853468574556,1.0,0,-0.4295695146531425,-99.20774010465186
E01000013,0.345,0.3167376854182473,1.0,0,-0.028262314581752657,-8.191975241087727
E01000014,-0.041,0.1404097719066303,1.0,0,0.1814097719066303,-442.4628583088544
E01000015,0.196,-0.02011663219569825,1.0,0,-0.21611663219569827,-110.2635878549481
E01000016,0.103,0.07759617096260982,1.0,0,-0.025403829037390177,-24.66391168678658
E01000017,0.28,0.24614816529274505,1.0,0,-0.033851834707254974,-12.089940966876775
E01000018,0.149,0.1327313236984047,1.0,0,-0.016268676301595286,-10.91857469905724
E01000019,0.102,0.19814915827680626,1.0,0,0.09614915827680627,94.26388066353557
E01000020,0.343,0.27478670550548484,1.0,0,-0.06821329449451519,-19.887257870121044
E01000021,0.895,0.3984816495455453,1.0,0,-0.4965183504544547,-55.4769106653022
E01000022,0.397,0.2643999386097079,1.0,0,-0.13260006139029212,-33.40051924188718
E01000023,0.832,0.40890158295201984,0.75,1,-0.4230984170479801,-50.85317512595915
E01000024,0.37,0.26184130919735416,1.0,0,-0.10815869080264584,-29.232078595309687
E01000025,0.227,0.18382931629874996,1.0,0,-0.043170683701250046,-19.01792233535244
E01000027,-0.08,-0.3491296078921868,1.0,0,-0.26912960789218676,336.4120098652335
E01000028,-0.402,-0.13390576500216325,1.0,0,0.2680942349978368,-66.69010820841712
E01000029,-0.021,0.02114469095867911,1.0,0,0.04214469095867911,-200.68900456513856
E01000030,-0.05,-0.24048271722564282,1.0,0,-0.1904827172256428,380.9654344512856
E01000031,0.137,0.10736056611736673,1.0,0,-0.02963943388263328,-21.634623271995093
E01000032,0.789,0.26457178115203395,1.0,0,-0.5244282188479661,-66.46745486032523
E01000033,-0.02,-0.11288397173093025,1.0,0,-0.09288397173093024,464.4198586546512
E01000034,-0.235,-0.20119596692991093,1.0,0,0.03380403307008906,-14.384694923442153
E01000035,0.055,0.15253222546267736,1.0,0,0.09753222546267737,177.33131902304976
E01000036,0.359,0.16893681263611454,1.0,0,-0.19006318736388544,-52.942392023366416
E01000037,-0.195,-0.06423808019575598,1.0,0,0.130761919804244,-67.05739477140717
E01000038,0.051,0.021250104327685176,1.0,0,-0.02974989567231482,-58.33312876924475
E01000039,-0.277,-0.21637547945441313,1.0,0,0.060624520545586896,-21.886108500211872
E01000040,0.038,0.11205324626441597,1.0,0,0.07405324626441598,194.87696385372627
E01000041,0.5,0.08620810404750986,1.0,0,-0.4137918959524901,-82.75837919049802
E01000042,-0.097,-0.1717933404321463,1.0,0,-0.0747933404321463,77.10653652798588
E01000043,0.101,0.07076132877976085,1.0,0,-0.030238671220239155,-29.93927843588035
E01000044,0.762,0.5513863363456943,1.0,0,-0.21061366365430567,-27.639588406076857
E01000045,0.165,0.061688080974694505,1.0,0,-0.10331191902530551,-62.61328425776091
E01000046,0.405,0.10999990817281002,1.0,0,-0.29500009182719,-72.83952884621975
E01000048,-0.587,-0.06289155995264831,0.75,1,0.5241084400473517,-89.28593527212125
E01000049,-0.678,-0.021930126371857366,1.0,0,0.6560698736281427,-96.7654680867467
E01000050,0.341,0.29940077482769056,1.0,0,-0.04159922517230946,-12.19918626753943
E01000051,-0.108,-0.18625921641381116,1.0,0,-0.07825921641381116,72.46223742019552
E01000052,0.272,0.5198250273301935,1.0,0,0.24782502733019351,91.11214240080643
E01000053,-0.032,-0.1119465905129253,1.0,0,-0.0799465905129253,249.83309535289155
E01000054,0.418,0.09325790873724996,1.0,0,-0.32474209126275,-77.68949551740431
E01000055,0.186,0.13741355251085557,1.0,0,-0.048586447489144424,-26.121745961905603
E01000056,-0.084,-0.18814867842777655,1.0,0,-0.10414867842777654,123.98652193782922
E01000057,0.076,0.07984077222608874,1.0,0,0.0038407722260887373,5.053647665906233
E01000058,0.194,0.1130419632472872,1.0,0,-0.0809580367527128,-41.73094677974887
E01000059,0.557,-0.03623299683565219,1.0,0,-0.5932329968356522,-106.50502636187652
E01000060,-0.393,0.043297627565455216,1.0,0,0.4362976275654552,-111.01720803192244
E01000061,-0.551,-0.15970816705539354,1.0,0,0.3912918329446065,-71.01485171408466
E01000062,-0.236,-0.002451654533740198,1.0,0,0.2335483454662598,-98.96116333316094
E01000063,0.525,0.15045969381134688,1.0,0,-0.37454030618865314,-71.34101070260058
E01000064,0.577,0.2568580964631274,1.0,0,-0.32014190353687255,-55.483865431000446
E01000065,0.188,0.09975637951006923,1.0,0,-0.08824362048993077,-46.938096005282326
E01000066,-0.359,-0.06446862235946818,1.0,0,0.29453137764053183,-82.04216647368574
E01000067,-0.487,0.11648209577096535,1.0,0,0.6034820957709653,-123.91829481950008
E01000068,0.181,0.31949973478789456,1.0,0,0.13849973478789457,76.51919049054949
E01000069,0.193,0.05068595758617896,1.0,0,-0.14231404241382103,-73.73784581026996
E01000070,-0.082,0.1515033633616909,1.0,0,0.23350336336169092,-284.7601992215743
E01000071,-0.173,0.016067068396544204,1.0,0,0.1890670683965442,-109.2873227725689
E01000072,0.114,0.1418685095483336,1.0,0,0.0278685095483336,24.446061007310178
E01000073,0.074,0.2129933850070875,1.0,0,0.13899338500708752,187.8288986582264
E01000074,-0.074,0.1279034202116437,1.0,0,0.2019034202116437,-272.84245974546445
E01000075,0.549,0.0326420232620365,1.0,0,-0.5163579767379636,-94.05427627285312
E01000076,0.169,0.20802137111190017,1.0,0,0.039021371111900155,23.089568705266363
E01000077,0.487,0.3805733215239381,1.0,0,-0.10642667847606191,-21.853527407815587
E01000078,0.399,0.19107140186163776,1.0,0,-0.20792859813836226,-52.11243061111836
E01000079,0.275,0.1276574218728803,1.0,0,-0.14734257812711973,-53.57911931895263
