LSOA11CD,Health_2019,Health_2025_pred,confidence,boundary_changed,change,pct_change
E01000001,-1.654,-1.6460168791085672,1.0,0,0.007983120891432716,-0.48265543479036976
E01000002,-1.115,-1.451709868434663,1.0,0,-0.336709868434663,30.198194478445114
E01000003,-0.102,-0.028445133122401906,1.0,0,0.07355486687759809,-72.11261458588048
E01000005,-0.121,0.45230284686859723,1.0,0,0.5733028468685972,-473.80400567652663
E01000006,-0.359,-0.35490771425345524,1.0,0,0.004092285746544744,-1.1399124642185916
E01000007,-0.027,0.3479759702582541,1.0,0,0.37497597025825413,-1388.7998898453857
E01000008,0.25,0.365238742643488,1.0,0,0.11523874264348799,46.09549705739519
E01000009,0.454,0.2945536845206286,1.0,0,-0.15944631547937144,-35.12033380602895
E01000010,-0.002,0.03467759810155361,0.75,1,0.03667759810155361,-1833.8799050776806
E01000011,-0.137,0.03270256176693341,1.0,0,0.16970256176693344,-123.87048304155724
E01000012,-0.056,-0.0014475241338481708,1.0,0,0.054552475866151834,-97.41513547527113
E01000013,0.67,0.5336438195763308,1.0,0,-0.13635618042366926,-20.351668719950634
E01000014,0.35,0.5089696185043575,1.0,0,0.15896961850435753,45.41989100124501
E01000015,0.025,0.2945378671169537,1.0,0,0.26953786711695366,1078.1514684678145
E01000016,0.373,0.4479416720241971,1.0,0,0.0749416720241971,20.091601078873218
E01000017,0.694,0.6534542662619414,1.0,0,-0.04054573373805859,-5.842324746117953
E01000018,0.273,0.481805068784391,1.0,0,0.20880506878439098,76.4853731810956
E01000019,0.477,0.46278867043028576,1.0,0,-0.014211329569714215,-2.979314375202142
E01000020,0.76,0.702731423580003,1.0,0,-0.05726857641999705,-7.535339002631192
E01000021,0.418,0.6460250606918401,1.0,0,0.2280250606918401,54.551449926277535
E01000022,0.427,0.45310643604218614,1.0,0,0.026106436042186154,6.1139194478187715
E01000023,0.033,0.3567649032257651,0.75,1,0.3237649032257651,981.1057673508035
E01000024,0.263,0.3866135523536654,1.0,0,0.12361355235366539,47.001350704815735
E01000025,0.395,0.5215854857348545,1.0,0,0.1265854857348545,32.04695841388722
E01000027,0.148,0.5111671432341897,1.0,0,0.36316714323418964,245.38320488796597
E01000028,1.138,0.9838703798486303,1.0,0,-0.15412962015136955,-13.543903352492931
