LSOA11CD,GeoBarriers_2019,GeoBarriers_2025_pred,confidence,boundary_changed,change,pct_change
E01000001,-0.43,8.211725037151856,1.0,0,8.641725037151856,-2009.7034970120596
E01000002,-1.06,8.419594906608264,1.0,0,9.479594906608265,-894.3014062837984
E01000003,-0.691,4.182620825129864,1.0,0,4.873620825129864,-705.2996852575781
E01000005,-1.167,6.320309155924532,1.0,0,7.487309155924532,-641.5860459232674
E01000006,-0.4,15.499054757157142,1.0,0,15.899054757157142,-3974.763689289285
E01000007,-0.951,12.550844688818895,1.0,0,13.501844688818895,-1419.7523332091375
E01000008,-0.498,13.715783787081955,1.0,0,14.213783787081955,-2854.173451221276
E01000009,-1.424,11.552579119096979,1.0,0,12.976579119096979,-911.2766235320912
E01000010,-1.162,10.191009170206671,0.75,1,11.353009170206672,-977.0231643895587
E01000011,-0.337,14.287635857651248,1.0,0,14.624635857651247,-4339.654557166542
E01000012,-0.12,14.194077122831175,1.0,0,14.314077122831174,-11928.397602359313
E01000013,-0.733,18.067165639491947,1.0,0,18.800165639491947,-2564.8247802853953
E01000014,-0.465,19.284996131488555,1.0,0,19.749996131488555,-4247.310996019043
E01000015,-0.591,18.73158231079562,1.0,0,19.32258231079562,-3269.472472215841
E01000016,-0.7,20.30522514467567,1.0,0,21.00522514467567,-3000.7464492393815
E01000017,-0.761,19.0632985193542,1.0,0,19.824298519354198,-2605.032656945361
E01000018,-0.946,19.85521169206598,1.0,0,20.80121169206598,-2198.8595868991524
E01000019,-1.027,18.340738578060172,1.0,0,19.367738578060173,-1885.8557524888192
E01000020,-0.91,18.955101882864895,1.0,0,19.865101882864895,-2182.978228886252
E01000021,-1.36,17.841927722971395,1.0,0,19.201927722971394,-1411.906450218485
E01000022,-0.623,19.788738907929332,1.0,0,20.411738907929333,-3276.3625855424293
E01000023,-0.788,17.584347963907398,0.75,1,18.372347963907398,-2331.5162390745427
E01000024,-0.575,19.744139736734137,1.0,0,20.319139736734137,-3533.763432475502
E01000025,-0.448,19.84668820649172,1.0,0,20.29468820649172,-4530.0643318061875
E01000027,-0.478,29.49465368858274,1.0,0,29.972653688582742,-6270.429641962916
E01000028,-0.427,27.456941701300188,1.0,0,27.883941701300188,-6530.197119742433
E01000029,0.44,26.421194581998105,1.0,0,25.981194581998103,5904.816950454114
E01000030,-1.396,23.407033937901627,1.0,0,24.803033937901628,-1776.721628789515
E01000031,-1.156,21.82022660828846,1.0,0,22.97622660828846,-1987.5628553882755
E01000032,-0.649,18.493795126159362,1.0,0,19.142795126159363,-2949.5832243697014
