LSOA11CD,WiderBarriers_2019,WiderBarriers_2025_pred,confidence,boundary_changed,change,pct_change
E01000001,3.587,0.9614176097199558,1.0,0,-2.6255823902800444,-73.19716727850695
E01000002,3.231,0.31785440090127703,1.0,0,-2.9131455990987227,-90.1623521850425
E01000003,5.173,2.5446470852904026,1.0,0,-2.6283529147095974,-50.80906465705775
E01000005,5.361,4.4025852912809516,1.0,0,-0.9584147087190482,-17.877536070118413
E01000006,5.59,5.62881713818374,1.0,0,0.038817138183739885,0.6944031875445418
E01000007,6.897,6.351562210498711,1.0,0,-0.545437789501289,-7.9083339060647955
E01000008,5.736,6.958833257175471,1.0,0,1.2228332571754716,21.318571429140025
E01000009,6.643,6.481794165088891,1.0,0,-0.16120583491110896,-2.4267023168915998
E01000010,7.211,6.948437433414223,0.75,1,-0.26256256658577737,-3.6411394617359223
E01000011,6.689,6.372716199280889,1.0,0,-0.3162838007191109,-4.728416814458228
E01000012,6.974,7.272550515486593,1.0,0,0.2985505154865926,4.280907879073596
E01000013,5.916,4.70691975874133,1.0,0,-1.20908024125867,-20.4374618197882
E01000014,5.82,4.621665478287547,1.0,0,-1.1983345217124537,-20.58994023560917
E01000015,6.581,5.223491994850503,1.0,0,-1.357508005149497,-20.627685840290184
E01000016,5.68,4.459703946956264,1.0,0,-1.220296053043736,-21.484085440910846
E01000017,6.045,4.68511813876542,1.0,0,-1.3598818612345802,-22.495977853342936
E01000018,5.803,4.391996542904542,1.0,0,-1.4110034570954584,-24.31506905213611
E01000019,5.506,5.060676621035116,1.0,0,-0.4453233789648845,-8.087965473390565
E01000020,5.783,5.091869400900177,1.0,0,-0.6911305990998233,-11.951073821542854
E01000021,6.238,5.094834462973941,1.0,0,-1.1431655370260598,-18.32583419406957
E01000022,5.695,4.965256773295481,1.0,0,-0.7297432267045192,-12.813752883310258
E01000023,6.047,4.752130304904798,0.75,1,-1.2948696950952021,-21.413423103939177
E01000024,5.852,4.860912096686461,1.0,0,-0.9910879033135389,-16.935883515268948
E01000025,5.916,4.69038269656712,1.0,0,-1.2256173034328803,-20.71699295863557
E01000027,5.66,4.028627379983648,1.0,0,-1.6313726200163519,-28.82283780947618
E01000028,6.135,4.79029230718431,1.0,0,-1.3447076928156898,-21.918625799766744
E01000029,4.609,4.470196880476927,1.0,0,-0.13880311952307256,-3.011566923911316
E01000030,6.084,4.747576635668124,1.0,0,-1.3364233643318757,-21.9661959949355
E01000031,4.694,4.610444814302959,1.0,0,-0.08355518569704135,-1.7800423028768928
E01000032,5.126,4.680607014327869,1.0,0,-0.4453929856721315,-8.688899447368932
E01000033,5.286,4.351077899150784,1.0,0,-0.9349221008492155,-17.686759380424053
E01000034,4.909,3.9583666812669134,1.0,0,-0.9506333187330864,-19.36511140218143
E01000035,4.963,4.480287999427195,1.0,0,-0.48271200057280517,-9.726213995019245
E01000036,4.387,4.044526823099499,1.0,0,-0.3424731769005005,-7.806546088454538
E01000037,3.504,2.6982873501283375,1.0,0,-0.8057126498716625,-22.99408247350635
E01000038,3.881,3.016823430627311,1.0,0,-0.8641765693726886,-22.26685311447278
E01000039,3.899,3.357673178753765,1.0,0,-0.5413268212462352,-13.883734835758789
E01000040,6.313,5.282737759131876,1.0,0,-1.0302622408681241,-16.319693344972663
E01000041,5.698,4.738418926413219,1.0,0,-0.9595810735867811,-16.840664682112692
E01000042,6.32,5.724385235789104,1.0,0,-0.5956147642108967,-9.424284243843301
E01000043,5.735,5.175686881164991,1.0,0,-0.5593131188350089,-9.752626309241654
E01000044,5.838,5.759732744977402,1.0,0,-0.07826725502259801,-1.3406518503356974
E01000045,6.012,4.726555837085675,1.0,0,-1.2854441629143247,-21.381306768368677
E01000046,5.667,4.458296584408069,1.0,0,-1.2087034155919305,-21.32880563952586
E01000048,5.895,6.759088794410643,0.75,1,0.8640887944106437,14.657994816126273
E01000049,6.587,7.161648104790475,1.0,0,0.5746481047904757,8.723973049802273
E01000050,6.349,6.060072857221273,1.0,0,-0.2889271427787268,-4.5507503981528865
E01000051,5.86,6.295425103848926,1.0,0,0.4354251038489254,7.430462523019204
E01000052,6.145,5.830491664523279,1.0,0,-0.3145083354767202,-5.118117745756228
E01000053,6.228,4.706423783228415,1.0,0,-1.5215762167715852,-24.431217353429435
E01000054,5.655,4.450223848347537,1.0,0,-1.2047761516524629,-21.30461806635655
E01000055,5.74,4.654275698251415,1.0,0,-1.0857243017485851,-18.915057521752352
E01000056,6.043,4.6961341324628005,1.0,0,-1.3468658675371996,-22.288033551831862
E01000057,5.983,4.775691268866476,1.0,0,-1.2073087311335238,-20.178985979166367
E01000058,5.954,4.659860237129753,1.0,0,-1.2941397628702465,-21.735635923249017
E01000059,5.86,4.552784663724165,1.0,0,-1.307215336275835,-22.3074289466866
E01000060,5.959,4.411539278172565,1.0,0,-1.5474607218274343,-25.96846319562736
E01000061,5.64,4.902193591176115,1.0,0,-0.7378064088238849,-13.08167391531711
E01000062,5.563,4.510302384437985,1.0,0,-1.052697615562015,-18.92319999212682
E01000063,5.579,4.303697149261656,1.0,0,-1.2753028507383437,-22.85898639072134
E01000064,5.738,4.768583967826234,1.0,0,-0.9694160321737666,-16.894667692118624
E01000065,6.489,4.593625209958766,1.0,0,-1.8953747900412337,-29.2090428423676
E01000066,5.535,5.14085917304667,1.0,0,-0.39414082695332997,-7.120882149111652
E01000067,5.391,4.817403912253041,1.0,0,-0.5735960877469592,-10.6398829112773
E01000068,5.026,5.076798285281795,1.0,0,0.050798285281794975,1.0107100135653597
E01000069,4.444,4.356124258579081,1.0,0,-0.08787574142091881,-1.9774019221628896
E01000070,4.835,4.642527752547452,1.0,0,-0.19247224745254776,-3.9808117363505224
E01000071,5.389,5.766039507420028,1.0,0,0.3770395074200277,6.996465159028162
E01000072,6.336,5.02538328876205,1.0,0,-1.3106167112379499,-20.6852384980737
E01000073,5.788,4.635504057725942,1.0,0,-1.152495942274058,-19.911816556220764
E01000074,6.065,4.6039409393434445,1.0,0,-1.4610590606565559,-24.090009244131174
E01000075,5.597,4.4748019170677376,1.0,0,-1.1221980829322629,-20.049992548369893
E01000076,6.01,4.7570643884604165,1.0,0,-1.2529356115395833,-20.84751433510122
E01000077,6.019,4.575953866532564,1.0,0,-1.443046133467436,-23.974848537422094
E01000078,6.066,4.695746465674039,1.0,0,-1.3702535343259612,-22.58907903603629
E01000079,5.952,4.480919656728423,1.0,0,-1.471080343271577,-24.71573157378322
E01000080,5.922,4.741807345091958,1.0,0,-1.1801926549080415,-19.928953983587327
E01000081,5.731,4.694202408098453,1.0,0,-1.0367975919015473,-18.09104156170908
E01000082,5.841,4.447542398646127,1.0,0,-1.393457601353873,-23.85649035017759
E01000083,5.871,4.64005758916694,1.0,0,-1.2309424108330607,-20.96648630272629
E01000084,5.82,4.694880446425039,1.0,0,-1.1251195535749616,-19.331951092353293
E01000085,6.327,4.874268583879594,1.0,0,-1.4527314161204057,-22.960825290349387
E01000086,5.644,4.713755559128224,1.0,0,-0.9302444408717765,-16.48200639390107
E01000087,5.846,4.617736542998863,1.0,0,-1.2282634570011375,-21.01032256245531
E01000088,5.848,4.7324413043257545,1.0,0,-1.1155586956742454,-19.075901088820885
E01000089,5.547,4.56736920879407,1.0,0,-0.9796307912059294,-17.660551491002874
E01000090,5.7,4.569121308446169,1.0,0,-1.1308786915538311,-19.839977044804055
E01000091,6.49,5.683753328635401,1.0,0,-0.8062466713645993,-12.422907108853607
E01000092,5.95,5.86332292318658,0.75,1,-0.0866770768134204,-1.4567575935028638
E01000093,6.797,5.81083812964155,1.0,0,-0.9861618703584494,-14.50878137940929
E01000094,6.369,5.086148561646789,1.0,0,-1.2828514383532106,-20.142117103991374
E01000095,5.773,4.733863255891674,1.0,0,-1.0391367441083261,-17.99994360139141
E01000096,6.289,5.741350633546328,1.0,0,-0.5476493664536717,-8.708051621142817
E01000097,6.141,4.509786207016132,1.0,0,-1.6312137929838677,-26.562673717372867
E01000098,5.903,5.24145488901098,1.0,0,-0.66154511098902,-11.206930560545826
E01000099,6.016,4.46204983161384,1.0,0,-1.5539501683861596,-25.830288703227385
E01000100,5.801,4.513388710842839,1.0,0,-1.2876112891571614,-22.196367680695765
E01000101,5.811,4.557792230133881,1.0,0,-1.253207769866119,-21.566129235348804
E01000102,5.821,4.489845054767342,1.0,0,-1.331154945232658,-22.86814886158148
E01000103,6.178,4.423574048699173,1.0,0,-1.754425951300827,-28.39795971675019
E01000104,6.45,4.769301883059763,1.0,0,-1.6806981169402375,-26.05733514636027
E01000105,6.527,5.013450491379053,1.0,0,-1.5135495086209474,-23.189053295862532
E01000106,6.68,4.937234762718168,1.0,0,-1.7427652372818319,-26.08929995930886
E01000107,4.875,4.136492396675976,1.0,0,-0.7385076033240239,-15.148873914338951
E01000108,5.574,4.810792082084404,1.0,0,-0.7632079179155955,-13.692284139138778
E01000109,5.047,4.567782051539786,0.75,1,-0.4792179484602137,-9.495104982369996
E01000110,4.15,3.881091091780969,1.0,0,-0.26890890821903124,-6.479732728169427
E01000111,5.58,4.495177289429509,1.0,0,-1.0848227105704913,-19.441267214524935
E01000112,5.773,4.83727359891599,1.0,0,-0.9357264010840094,-16.20866795572509
E01000113,5.23,4.974269573320598,1.0,0,-0.2557304266794027,-4.889683110504832
E01000114,5.421,4.463888919025501,1.0,0,-0.9571110809744994,-17.655618538544537
E01000115,1.386,1.254610944661804,1.0,0,-0.131389055338196,-9.479729822380664
E01000116,1.662,1.5934762588738645,1.0,0,-0.06852374112613546,-4.122968780152555
E01000117,2.106,2.297750767848469,1.0,0,0.19175076784846912,9.104974731646207
E01000118,2.189,2.283319692038654,1.0,0,0.09431969203865398,4.308802742743444
E01000119,1.974,2.4646200814830843,1.0,0,0.49062008148308434,24.85410747128087
E01000120,1.697,1.1494958551982415,1.0,0,-0.5475041448017586,-32.263060978300445
E01000121,4.176,4.32116510652912,1.0,0,0.14516510652912018,3.476175922632188
E01000122,2.117,2.497474146167015,1.0,0,0.3804741461670149,17.972326224233107
E01000123,2.725,3.742663651779099,1.0,0,1.017663651779099,37.345455111159595
E01000124,4.25,5.21201961654919,1.0,0,0.9620196165491901,22.635755683510357
E01000125,5.717,6.558427114476592,0.75,1,0.8414271144765921,14.717983461196294
E01000126,5.553,6.861626960148358,1.0,0,1.3086269601483584,23.56612570049268
E01000127,5.104,6.118154913640643,1.0,0,1.0141549136406427,19.86980630173673
E01000128,4.558,5.870992923319131,1.0,0,1.3129929233191309,28.80633881788352
E01000129,5.236,6.675452330910847,1.0,0,1.4394523309108473,27.49145017018425
E01000130,5.184,6.034293688289848,1.0,0,0.850293688289848,16.402270221640585
E01000131,4.522,6.738419977767496,1.0,0,2.2164199777674956,49.01415253798088
E01000132,4.885,5.5858431860682956,1.0,0,0.7008431860682958,14.346841065881184
E01000133,5.03,6.027581383498303,1.0,0,0.9975813834983027,19.832631878693892
E01000134,5.537,6.354921683440825,1.0,0,0.8179216834408249,14.77192854326937
E01000135,2.907,4.0988504345927845,1.0,0,1.1918504345927845,40.99932695537614
E01000136,2.272,3.2705490378612536,1.0,0,0.9985490378612538,43.95022173685096
E01000137,4.02,5.576372118540121,1.0,0,1.5563721185401214,38.71572434179407
E01000138,4.318,5.440907663938318,1.0,0,1.1229076639383182,26.005272439516403
E01000139,3.186,4.264085079962746,1.0,0,1.0780850799627464,33.83820087767566
E01000140,4.13,4.452186314685843,1.0,0,0.322186314685843,7.801121420964723
E01000141,4.859,6.145298434568718,1.0,0,1.2862984345687183,26.472492993799513
E01000142,4.05,5.799217519737603,1.0,0,1.749217519737603,43.19055604290378
E01000143,4.039,5.128074046301928,1.0,0,1.0890740463019286,26.963952619508014
E01000144,4.195,4.697917689705888,1.0,0,0.502917689705888,11.988502734347747
E01000145,3.593,4.751547314615194,1.0,0,1.158547314615194,32.24456762079582
E01000146,4.782,5.059189340886153,1.0,0,0.277189340886153,5.79651486587522
E01000147,3.719,5.875579552122397,1.0,0,2.156579552122397,57.988156819639606
E01000148,5.846,6.305960161465241,0.75,1,0.4599601614652409,7.867946655238468
E01000150,4.145,6.412946200956407,1.0,0,2.2679462009564073,54.715228008598494
E01000151,4.89,6.65247506899602,1.0,0,1.7624750689960207,36.04243494879388
E01000152,5.45,6.14678237798395,1.0,0,0.6967823779839497,12.78499776117339
E01000153,5.099,6.342773168402892,1.0,0,1.2437731684028916,24.39249202594414
E01000154,5.347,6.44135785319728,1.0,0,1.0943578531972795,20.466763665556
E01000155,5.037,6.711188432785727,0.75,1,1.6741884327857273,33.23780887007598
E01000156,2.812,3.615686873528251,1.0,0,0.803686873528251,28.58061427909854
E01000157,3.258,4.091443341341579,1.0,0,0.8334433413415789,25.58144080238118
E01000158,3.572,4.254154693609259,1.0,0,0.6821546936092586,19.097275856922135
E01000159,2.914,3.8311525571609595,1.0,0,0.9171525571609593,31.474006765990367
E01000160,2.759,4.060224501877688,1.0,0,1.3012245018776878,47.16290329386328
E01000161,3.43,4.679027468574439,1.0,0,1.2490274685744391,36.41479500217024
E01000162,3.173,4.241424923074842,1.0,0,1.0684249230748417,33.672389633622494
E01000163,4.063,5.3091972756736014,1.0,0,1.2461972756736017,30.671850250396304
E01000164,4.138,5.551107705666513,1.0,0,1.413107705666513,34.14953372804526
E01000165,3.25,4.856783313010169,1.0,0,1.606783313010169,49.439486554159046
E01000166,2.262,3.4446666923102693,1.0,0,1.1826666923102693,52.28411548674931
E01000167,3.356,3.6662694079114804,1.0,0,0.3102694079114805,9.245214776861756
E01000168,1.014,1.3271518096796737,1.0,0,0.3131518096796737,30.882821467423444
E01000169,2.614,2.7956384860224452,1.0,0,0.18163848602244537,6.948679648907627
E01000170,2.842,3.80052504664971,1.0,0,0.9585250466497097,33.72713042398697
E01000171,3.578,4.859706775864878,1.0,0,1.2817067758648784,35.8218774696724
E01000172,1.296,1.7715863123624818,1.0,0,0.4755863123624817,36.69647471932729
E01000173,1.748,2.348922957718991,1.0,0,0.6009229577189912,34.377743576601326
E01000174,3.896,4.146848658235484,1.0,0,0.2508486582354843,6.438620591259864
E01000175,1.622,2.069113564710999,1.0,0,0.44711356471099895,27.565571190567137
E01000176,4.944,5.43292303019517,1.0,0,0.4889230301951697,9.889219866407155
E01000177,2.39,3.225261690353049,1.0,0,0.835261690353049,34.94818788088071
E01000178,2.704,3.453929976895396,1.0,0,0.749929976895396,27.734096778675884
E01000179,2.539,3.593923215930837,1.0,0,1.0549232159308368,41.54876785863871
E01000180,3.081,3.9326751165834137,1.0,0,0.8516751165834138,27.64281455966939
E01000181,2.66,2.7323555576303575,1.0,0,0.07235555763035739,2.7201337455021575
E01000182,2.916,2.9247186844325537,1.0,0,0.008718684432553747,0.2989946650395661
E01000183,2.238,3.530310143427667,1.0,0,1.2923101434276671,57.743974237161176
E01000184,4.206,5.441505048763096,1.0,0,1.2355050487630956,29.374822842679396
E01000185,4.163,5.046887844437776,1.0,0,0.8838878444377753,21.231992419836065
E01000186,1.335,3.283895060352326,1.0,0,1.948895060352326,145.98464871553006
E01000187,3.689,5.249492336997392,1.0,0,1.5604923369973918,42.30122897797212
E01000188,1.479,3.4667735731694247,1.0,0,1.9877735731694246,134.39983591409225
