LSOA11CD,Barriers_2019,Barriers_2025_pred,confidence,boundary_changed,change,pct_change
E01000109,39.755,29.519219268856208,0.75,1,-10.235780731143794,-25.747153140847175
E01000110,32.872,26.972283515774926,1.0,0,-5.899716484225074,-17.947543454079685
E01000111,44.339,28.65241991507017,1.0,0,-15.68658008492983,-35.37874125471894
E01000112,43.159,32.090262769521196,1.0,0,-11.068737230478803,-25.646417272130503
E01000113,42.208,31.558160708292682,1.0,0,-10.649839291707316,-25.231802719170105
E01000114,40.755,29.263771518359675,1.0,0,-11.491228481640327,-28.19587408082524
E01000115,17.004,15.921187660769583,1.0,0,-1.0828123392304185,-6.367985998767457
E01000116,19.173,16.511453600088235,1.0,0,-2.6615463999117637,-13.881742032607125
E01000117,21.506,18.773671633150173,1.0,0,-2.7323283668498277,-12.704958462056299
E01000118,22.339,17.86094898691276,1.0,0,-4.478051013087239,-20.04588841527033
E01000119,23.519,19.0918090561113,1.0,0,-4.4271909438887,-18.82389108333135
E01000120,18.977,13.89990669652779,1.0,0,-5.0770933034722106,-26.753930038848136
E01000121,37.522,30.432908116814513,1.0,0,-7.089091883185485,-18.893161034021336
E01000122,30.659,20.628932984070165,1.0,0,-10.030067015929834,-32.71491899908619
E01000123,34.632,26.406230009092376,1.0,0,-8.225769990907622,-23.75193460068036
E01000124,30.587,30.974031774672262,1.0,0,0.3870317746722627,1.2653472869920643
E01000125,45.911,40.80124798994967,0.75,1,-5.109752010050329,-11.129690074383761
E01000126,51.181,43.855123395941284,1.0,0,-7.325876604058713,-14.313664453720548
E01000127,37.588,37.834664817785196,1.0,0,0.2466648177851951,0.6562328875843224
E01000128,34.708,38.105329324775724,1.0,0,3.3973293247757255,9.788317750304614
E01000129,38.657,43.08072651184743,1.0,0,4.423726511847434,11.443532896622694
E01000130,43.475,38.469556076617394,1.0,0,-5.005443923382607,-11.513384527619568
E01000131,39.033,41.98787012032095,1.0,0,2.9548701203209475,7.570184511364608
E01000132,35.397,35.09931016577886,1.0,0,-0.2976898342211385,-0.8410030065291931
E01000133,40.079,38.66872213069117,1.0,0,-1.4102778693088283,-3.518745151597665
E01000134,42.152,39.98270822058161,1.0,0,-2.169291779418394,-5.146355521489832
E01000135,25.516,27.464275007188952,1.0,0,1.948275007188954,7.6355032418441535
E01000136,27.615,20.037672160988365,1.0,0,-7.577327839011634,-27.43917377878557
E01000137,33.329,31.8044512215034,1.0,0,-1.5245487784966016,-4.574240986818091
E01000138,35.73,33.75974981468398,1.0,0,-1.9702501853160186,-5.514274238220036
E01000139,25.608,27.313537040427555,1.0,0,1.7055370404275543,6.6601727601825775
E01000140,30.188,28.908350414979903,1.0,0,-1.2796495850200955,-4.23893462640816
E01000141,35.668,39.84433692291934,1.0,0,4.17633692291934,11.708918142086297
E01000142,30.865,36.59487802321519,1.0,0,5.729878023215189,18.564322122842018
E01000143,33.531,30.062008060542432,1.0,0,-3.468991939457567,-10.345626254682434
E01000144,31.107,28.747305332476827,1.0,0,-2.359694667523172,-7.5857352606267785
E01000145,29.116,32.16458630505222,1.0,0,3.0485863050522184,10.470484630623089
E01000146,34.561,31.842289634634334,1.0,0,-2.7187103653656663,-7.866411172609781
E01000147,27.447,35.85192114229066,1.0,0,8.404921142290657,30.622367261597468
E01000148,43.166,40.43650015936991,0.75,1,-2.7294998406300834,-6.3232633105455305
E01000150,33.726,39.9427275521328,1.0,0,6.216727552132802,18.43304142837218
E01000151,40.945,40.003559440784535,1.0,0,-0.9414405592154651,-2.2992808870813657
E01000152,44.269,37.71707400567364,1.0,0,-6.551925994326361,-14.800257503730286
E01000153,49.389,40.06079200489302,1.0,0,-9.328207995106986,-18.887217791627663
E01000154,43.4,39.45510612279939,1.0,0,-3.944893877200606,-9.089617228572825
E01000155,39.038,43.48039416729959,0.75,1,4.442394167299597,11.379666395049943
E01000156,22.228,25.142806269695228,1.0,0,2.9148062696952266,13.113218776746564
E01000157,24.93,27.029930624128998,1.0,0,2.099930624128998,8.423307758239062
E01000158,28.16,26.27913452684578,1.0,0,-1.8808654731542198,-6.679209776826064
E01000159,32.939,23.879916131529416,1.0,0,-9.059083868470584,-27.50260745156375
E01000160,26.935,24.902721165415308,1.0,0,-2.032278834584691,-7.545122831203605
E01000161,27.508,29.615757834922636,1.0,0,2.107757834922637,7.662344899384315
E01000162,24.285,25.792950073890623,1.0,0,1.5079500738906226,6.209388815691261
E01000163,38.055,32.98911301735728,1.0,0,-5.065886982642716,-13.31201414437713
E01000164,36.044,35.27438845088497,1.0,0,-0.7696115491150266,-2.135200169556727
E01000165,35.632,30.10842665563243,1.0,0,-5.523573344367566,-15.501721330173908
E01000166,28.957,29.301528750547178,1.0,0,0.3445287505471768,1.1897943521330827
E01000167,33.883,29.544186947989417,1.0,0,-4.338813052010586,-12.805280087390685
E01000168,21.872,15.910682876843968,1.0,0,-5.961317123156032,-27.255473313624872
E01000169,25.427,22.006355654584205,1.0,0,-3.420644345415795,-13.452803497918728
E01000170,22.502,24.837093528407102,1.0,0,2.3350935284071035,10.377271035495083
