LSOA11CD,Employment_2019,Employment_2025_pred,confidence,boundary_changed,change,pct_change
E01000001,0.01,0.027493962845260116,1.0,0,0.017493962845260114,174.93962845260114
E01000002,0.027,0.034022612733078654,1.0,0,0.007022612733078654,26.009676789180205
E01000003,0.086,0.10069512726683298,1.0,0,0.014695127266832989,17.087357287015102
E01000005,0.136,0.14320445305853674,1.0,0,0.007204453058536731,5.297391954806419
E01000006,0.059,0.11666252939804217,1.0,0,0.05766252939804217,97.73310067464776
E01000007,0.107,0.1772088137013452,1.0,0,0.0702088137013452,65.61571373957496
E01000008,0.151,0.1951030196896184,1.0,0,0.04410301968961841,29.207297807694314
E01000009,0.109,0.16466632840990983,1.0,0,0.05566632840990983,51.07002606413746
E01000010,0.073,0.1433076596653335,0.75,1,0.07030765966533349,96.31186255525137
E01000011,0.081,0.14633578520375656,1.0,0,0.06533578520375656,80.66146321451427
E01000012,0.096,0.17894340576351475,1.0,0,0.08294340576351475,86.39938100366119
E01000013,0.145,0.19336568454268566,1.0,0,0.048365684542685666,33.35564451219701
E01000014,0.135,0.18088798518274346,1.0,0,0.04588798518274345,33.991100135365514
E01000015,0.123,0.19265525976677134,1.0,0,0.06965525976677134,56.63029249331003
E01000016,0.122,0.16737777303933066,1.0,0,0.04537777303933066,37.19489593387759
E01000017,0.169,0.20368623313514542,1.0,0,0.034686233135145406,20.524398304819766
E01000018,0.136,0.19141847610083906,1.0,0,0.055418476100839054,40.74887948591107
E01000019,0.138,0.19144963863788073,1.0,0,0.053449638637880714,38.73162220136283
E01000020,0.131,0.17809219156913264,1.0,0,0.047092191569132635,35.948237839032544
E01000021,0.136,0.196624869942162,1.0,0,0.060624869942161985,44.577110251589694
E01000022,0.139,0.1887391239328357,1.0,0,0.049739123932835694,35.78354239772352
E01000023,0.108,0.17339752735262254,0.75,1,0.06539752735262254,60.553266067243094
E01000024,0.1,0.16526621188348478,1.0,0,0.06526621188348478,65.26621188348477
E01000025,0.138,0.19331748615964567,1.0,0,0.05531748615964566,40.08513489829395
E01000027,0.146,0.21143735689651566,1.0,0,0.06543735689651567,44.8201074633669
E01000028,0.155,0.21546641830117808,1.0,0,0.060466418301178076,39.010592452372954
E01000029,0.075,0.11950710203241044,1.0,0,0.04450710203241044,59.342802709880594
E01000030,0.162,0.2270519127627983,1.0,0,0.06505191276279829,40.155501705431035
E01000031,0.075,0.12154091056904519,1.0,0,0.04654091056904519,62.054547425393594
E01000032,0.106,0.15206700557101316,1.0,0,0.04606700557101316,43.459439217936946
E01000033,0.136,0.1980314905195446,1.0,0,0.062031490519544596,45.61139008790044
E01000034,0.147,0.18881799749266465,1.0,0,0.041817997492664655,28.447617341948746
E01000035,0.092,0.1560622007012103,1.0,0,0.0640622007012103,69.63282684914164
E01000036,0.073,0.12741040398630782,1.0,0,0.05441040398630782,74.53479998124361
E01000037,0.101,0.12759817974459853,1.0,0,0.02659817974459852,26.334831430295566
E01000038,0.079,0.12140122075118864,1.0,0,0.04240122075118864,53.67243133061854
E01000039,0.074,0.12726606817037564,1.0,0,0.053266068170375644,71.98117320321033
E01000040,0.123,0.18950259607319478,1.0,0,0.06650259607319478,54.06715127902015
E01000041,0.105,0.1582541449920184,1.0,0,0.0532541449920184,50.718233325731816
E01000042,0.164,0.22259703520189822,1.0,0,0.05859703520189821,35.72989951335257
E01000043,0.085,0.14097618007771864,1.0,0,0.05597618007771864,65.85432950319839
E01000044,0.079,0.14913833729560289,1.0,0,0.07013833729560288,88.782705437472
E01000045,0.125,0.18925879614960056,1.0,0,0.06425879614960056,51.40703691968045
E01000046,0.111,0.16655137793510996,1.0,0,0.05555137793510996,50.04628642802699
E01000048,0.182,0.22835698572668667,0.75,1,0.04635698572668667,25.470871278399272
E01000049,0.143,0.20035615492746645,1.0,0,0.05735615492746646,40.10919924997654
E01000050,0.114,0.16144561801336133,1.0,0,0.04744561801336132,41.61896316961519
E01000051,0.13,0.16306701854682804,1.0,0,0.03306701854682803,25.43616811294464
E01000052,0.111,0.17065539797152499,1.0,0,0.059655397971524984,53.74360177614864
E01000053,0.126,0.1940333571989526,1.0,0,0.0680333571989526,53.994727935676664
E01000054,0.096,0.16104399897780175,1.0,0,0.06504399897780175,67.75416560187682
E01000055,0.114,0.17342836826667918,1.0,0,0.059428368266679174,52.13014760235015
E01000056,0.144,0.21063961173358192,1.0,0,0.06663961173358193,46.27750814832079
E01000057,0.118,0.1676415051137519,1.0,0,0.0496415051137519,42.069072130298224
E01000058,0.117,0.16865651547579658,1.0,0,0.05165651547579657,44.15086792803125
E01000059,0.129,0.17562653317209437,1.0,0,0.046626533172094364,36.14459935821268
E01000060,0.129,0.18570384987514646,1.0,0,0.056703849875146456,43.95647277143136
E01000061,0.186,0.2853423567333595,1.0,0,0.0993423567333595,53.4098692114836
E01000062,0.088,0.15683403047340655,1.0,0,0.06883403047340655,78.22048917432564
E01000063,0.124,0.17563968082056858,1.0,0,0.05163968082056858,41.64490388755531
E01000064,0.13,0.18267968868350837,1.0,0,0.05267968868350836,40.522837448852584
E01000065,0.173,0.22026244104487558,1.0,0,0.04726244104487559,27.319330083743118
E01000066,0.097,0.14275848377615463,1.0,0,0.04575848377615463,47.1736946145924
E01000067,0.066,0.12430830634278084,1.0,0,0.058308306342780836,88.34591870118307
E01000068,0.075,0.11610988733169736,1.0,0,0.04110988733169736,54.81318310892982
E01000069,0.07,0.09766662223826475,1.0,0,0.027666622238264743,39.52374605466392
E01000070,0.077,0.11686899856916794,1.0,0,0.03986899856916794,51.77792021969862
