LSOA11CD,CYP_2019,CYP_2025_pred,confidence,boundary_changed,change,pct_change
E01000001,-2.107,-2.2834365841561715,1.0,0,-0.17643658415617125,8.373829338214106
E01000002,-1.907,-1.9014626026086647,1.0,0,0.005537397391335297,-0.29037217573861024
E01000003,-0.292,-0.5377686513388822,1.0,0,-0.2457686513388822,84.16734634893227
E01000005,0.338,-0.2869118368832192,1.0,0,-0.6249118368832192,-184.88515884118908
E01000006,-0.366,-0.41210025705047687,1.0,0,-0.04610025705047688,12.595698647671279
E01000007,-0.133,-0.21580093509884485,1.0,0,-0.08280093509884484,62.25634217958258
E01000008,0.129,-0.2234474063465707,1.0,0,-0.3524474063465707,-273.2150436795122
E01000009,0.101,-0.09865082695862522,1.0,0,-0.19965082695862524,-197.67408609764874
E01000010,0.022,-0.1038763946756234,0.75,1,-0.1258763946756234,-572.1654303437427
E01000011,0.273,-0.006279941641541491,1.0,0,-0.2792799416415415,-102.30034492364157
E01000012,0.378,-0.024782176369316643,1.0,0,-0.4027821763693166,-106.55613131463403
E01000013,-0.257,-0.1711098958010193,1.0,0,0.08589010419898072,-33.420274007385494
E01000014,0.142,-0.08473816220471124,1.0,0,-0.2267381622047112,-159.67476211599381
E01000015,0.11,-0.007335584843993179,1.0,0,-0.11733558484399317,-106.66871349453925
E01000016,-0.18,-0.022256837478007545,1.0,0,0.15774316252199244,-87.6350902899958
E01000017,-0.3,-0.10355208422920915,1.0,0,0.19644791577079085,-65.48263859026362
E01000018,-0.126,-0.022471174675074895,1.0,0,0.1035288253249251,-82.16573438486118
E01000019,-0.049,-0.05838231188649437,1.0,0,-0.009382311886494368,19.147575278559934
E01000020,-0.046,-0.10415646680181877,1.0,0,-0.05815646680181877,126.4271017430843
E01000021,0.451,0.10524818860942405,1.0,0,-0.345751811390576,-76.66337281387494
E01000022,0.122,-0.062091601149642836,1.0,0,-0.18409160114964285,-150.89475504069085
E01000023,0.246,0.0300364800034384,0.75,1,-0.2159635199965616,-87.79004877909009
E01000024,0.329,-0.0004889896834978941,1.0,0,-0.32948898968349793,-100.14862908313007
E01000025,-0.258,0.005049375410793925,1.0,0,0.26304937541079393,-101.95712225224571
E01000027,0.592,0.66674814680825,1.0,0,0.07474814680825004,12.626376150042237
E01000028,0.165,0.17035170203904987,1.0,0,0.00535170203904986,3.2434557812423397
E01000029,-0.189,-0.3451527587725381,1.0,0,-0.1561527587725381,82.6205072870572
E01000030,0.698,0.42791168271935576,1.0,0,-0.2700883172806442,-38.694601329605185
E01000031,-0.446,-0.4572740017053408,1.0,0,-0.01127400170534082,2.527803072946372
E01000032,-0.176,-0.12439797532420085,1.0,0,0.051602024675799135,-29.319332202158602
E01000033,0.08,0.2112827600635665,1.0,0,0.13128276006356648,164.1034500794581
E01000034,0.39,0.3701761330605335,1.0,0,-0.019823866939466528,-5.083042804991417
E01000035,0.239,0.13737746067905066,1.0,0,-0.10162253932094933,-42.51989092926751
E01000036,-0.78,-0.5226298829362785,1.0,0,0.2573701170637215,-32.996168854323265
E01000037,-0.025,-0.3366504832395645,1.0,0,-0.31165048323956446,1246.6019329582577
E01000038,-0.46,-0.22628327355527997,1.0,0,0.23371672644472005,-50.80798400972175
E01000039,-0.022,-0.14530526558396545,1.0,0,-0.12330526558396546,560.4784799271157
E01000040,0.382,0.15999428890986367,1.0,0,-0.22200571109013634,-58.11667829584721
E01000041,0.142,-0.0795626218757649,1.0,0,-0.2215626218757649,-156.03001540546825
E01000042,0.335,0.09656461223306181,1.0,0,-0.2384353877669382,-71.17474261699647
E01000043,0.071,0.03014158709403073,1.0,0,-0.04085841290596927,-57.54706043094264
E01000044,0.18,-0.14986828054374898,1.0,0,-0.32986828054374895,-183.26015585763832
E01000045,0.053,-0.10599688900092896,1.0,0,-0.15899688900092895,-299.994130190432
E01000046,-0.104,-0.04962674076209546,1.0,0,0.054373259237904537,-52.28198003644667
E01000048,0.03,-0.22402452322721159,0.75,1,-0.2540245232272116,-846.7484107573721
E01000049,0.089,-0.08385455536664294,1.0,0,-0.17285455536664293,-194.2186015355539
E01000050,0.138,-0.1709821692315302,1.0,0,-0.3089821692315302,-223.9001226315436
E01000051,0.048,-0.1865230525784232,1.0,0,-0.2345230525784232,-488.589692871715
E01000052,0.433,0.048094287146965474,1.0,0,-0.38490571285303454,-88.89277433095486
E01000053,0.221,-0.008184183731567828,1.0,0,-0.22918418373156782,-103.70325055727051
E01000054,-0.079,-0.06251304985125601,1.0,0,0.01648695014874399,-20.86955715030885
E01000055,0.102,-0.05042712341838091,1.0,0,-0.1524271234183809,-149.43835629253033
E01000056,-0.32,-0.021968452206311294,1.0,0,0.29803154779368873,-93.13485868552773
E01000057,0.61,0.20918030093034923,1.0,0,-0.40081969906965076,-65.70814738846734
E01000058,0.117,0.04785886535705154,1.0,0,-0.06914113464294847,-59.09498687431493
E01000059,0.113,0.019788564614773636,1.0,0,-0.09321143538522636,-82.48799591612952
E01000060,0.047,0.0507001060718008,1.0,0,0.003700106071800803,7.872566110214474
