LSOA11CD,IMD_2019,IMD_2025_pred,confidence,boundary_changed,change,pct_change
E01000001,6.208,7.632511430388453,1.0,0,1.4245114303884527,22.94638257713358
E01000002,5.143,5.647640470893521,1.0,0,0.5046404708935208,9.812181040122901
E01000003,19.402,14.646218749951192,1.0,0,-4.755781250048809,-24.51180934980316
E01000005,28.652,24.143492283027815,1.0,0,-4.508507716972186,-15.735403172456325
E01000006,19.837,25.907948244625313,1.0,0,6.070948244625313,30.604165169256
E01000007,31.576,36.235019570491005,1.0,0,4.6590195704910045,14.75493910087093
E01000008,37.596,39.31422474641116,1.0,0,1.7182247464111668,4.570232860972356
E01000009,32.844,36.01131480911941,1.0,0,3.1673148091194108,9.643511171353703
E01000010,32.437,34.68289586199683,0.75,1,2.2458958619968357,6.923870462733409
E01000011,30.679,36.599219787763644,1.0,0,5.920219787763646,19.29730365319484
E01000012,34.714,38.933979326306314,1.0,0,4.219979326306316,12.156419099805023
E01000013,38.997,34.575586706120134,1.0,0,-4.421413293879866,-11.337829304510258
E01000014,35.67,32.190621716715974,1.0,0,-3.479378283284028,-9.754354592890463
E01000015,33.632,34.151652881432945,1.0,0,0.5196528814329469,1.5451144191036719
E01000016,32.839,30.41659712884048,1.0,0,-2.4224028711595196,-7.376603645541946
E01000017,39.004,34.142550865622994,1.0,0,-4.861449134377004,-12.463975834214452
E01000018,33.406,31.984320793649346,1.0,0,-1.4216792063506531,-4.255760062116545
E01000019,33.62,33.066323235074584,1.0,0,-0.5536767649254131,-1.6468672365419783
E01000020,36.035,32.4550447784229,1.0,0,-3.5799552215770944,-9.934661361390578
E01000021,38.888,38.30213812351666,1.0,0,-0.5858618764833352,-1.5065364032177928
E01000022,34.413,33.12200179407939,1.0,0,-1.2909982059206087,-3.751484049401705
E01000023,36.877,34.91759757433393,0.75,1,-1.9594024256660703,-5.31334551526987
E01000024,29.339,29.81709592253288,1.0,0,0.47809592253288,1.6295576622682437
E01000025,36.702,33.25622253196735,1.0,0,-3.445777468032645,-9.388527786040667
E01000027,37.347,35.44087724098921,1.0,0,-1.9061227590107919,-5.103817599836109
E01000028,40.078,37.51145311770316,1.0,0,-2.5665468822968407,-6.403879640443238
E01000029,22.503,21.10590492101419,1.0,0,-1.39709507898581,-6.208483664337245
E01000030,38.415,38.81035609983074,1.0,0,0.3953560998307424,1.029171156659488
E01000031,22.672,21.03943522670032,1.0,0,-1.6325647732996806,-7.200797341653495
E01000032,29.958,26.85924514810658,1.0,0,-3.0987548518934176,-10.343663969201607
E01000033,37.978,36.58135499042091,1.0,0,-1.396645009579089,-3.677510689291403
E01000034,35.895,31.845892251180654,1.0,0,-4.049107748819349,-11.28042275754102
E01000035,26.175,27.41122069088224,1.0,0,1.236220690882238,4.722906173380087
E01000036,19.27,22.507723519201555,1.0,0,3.2377235192015554,16.801886451487054
E01000037,17.988,17.340598094424752,1.0,0,-0.6474019055752471,-3.599076637620898
E01000038,19.646,17.98171758998325,1.0,0,-1.6642824100167495,-8.47135503418889
E01000039,22.288,20.89396412713257,1.0,0,-1.3940358728674305,-6.254647670797876
E01000040,34.608,35.39536665306687,1.0,0,0.7873666530668757,2.2751001302209772
E01000041,33.173,30.299413351787685,1.0,0,-2.873586648212317,-8.662426214729802
E01000042,41.573,41.41173313306762,1.0,0,-0.16126686693237957,-0.3879125079555951
E01000043,28.075,28.70096558745282,1.0,0,0.6259655874528214,2.2296191895024804
E01000044,28.389,32.1273419672485,1.0,0,3.7383419672484983,13.168276329735104
E01000045,35.688,34.08761060182306,1.0,0,-1.6003893981769437,-4.484390826543779
E01000046,29.763,29.691265735480048,1.0,0,-0.07173426451995368,-0.24101825931510157
E01000048,44.704,45.40893877636941,0.75,1,0.7049387763694099,1.5769031325371554
E01000049,41.172,40.21023243834337,1.0,0,-0.9617675616566288,-2.3359748412917245
E01000050,34.701,33.380052585856646,1.0,0,-1.3209474141433546,-3.8066551803791087
E01000051,36.941,38.18532754022246,1.0,0,1.2443275402224572,3.368418668207296
E01000052,33.284,34.738933424505674,1.0,0,1.4549334245056755,4.371269752751099
E01000053,40.044,36.35492793810281,1.0,0,-3.6890720618971855,-9.212546353753835
E01000054,29.788,28.619935603386864,1.0,0,-1.1680643966131363,-3.9212582134186125
E01000055,30.898,29.917550545573036,1.0,0,-0.9804494544269637,-3.1731809645509865
E01000056,35.903,35.14183785990121,1.0,0,-0.76116214009879,-2.120051639413949
E01000057,32.887,30.888168357836932,1.0,0,-1.9988316421630685,-6.077877709012888
E01000058,31.763,31.295591123306213,1.0,0,-0.4674088766937885,-1.4715514173528585
E01000059,32.331,29.914477366402647,1.0,0,-2.4165226335973564,-7.474320724992595
