LSOA11CD,Crime_2019,Crime_2025_pred,confidence,boundary_changed,change,pct_change
E01000001,-2.012,-1.9196270292078648,1.0,0,0.09237297079213524,-4.5911019280385315
E01000002,-2.343,-2.0105315077102848,1.0,0,0.3324684922897152,-14.189863093884558
E01000003,-1.032,-0.5821786998885279,1.0,0,0.44982130011147214,-43.58733528211939
E01000005,-1.317,-0.39793516427844144,1.0,0,0.9190648357215585,-69.78472556731651
E01000006,-0.147,-0.0678802781129708,1.0,0,0.07911972188702919,-53.82294005920353
E01000007,0.846,0.9372909134428068,1.0,0,0.09129091344280682,10.790888113806952
E01000008,0.353,0.4766816667335134,1.0,0,0.12368166673351344,35.037299357935815
E01000009,0.895,0.7938455004987326,1.0,0,-0.10115449950126743,-11.30217871522541
E01000010,1.214,1.043495914779034,0.75,1,-0.17050408522096605,-14.044817563506264
E01000011,0.526,0.27015020566788084,1.0,0,-0.2558497943321192,-48.64064531028882
E01000012,0.542,0.5064548441445733,1.0,0,-0.035545155855426724,-6.558146836794598
E01000013,1.199,0.7927966592666355,1.0,0,-0.4062033407333646,-33.87851048651915
E01000014,0.825,0.6036606583121953,1.0,0,-0.22133934168780467,-26.829011113673296
E01000015,0.372,0.41879695309418496,1.0,0,0.04679695309418497,12.579826100587358
E01000016,0.528,0.29118187902144155,1.0,0,-0.23681812097855848,-44.85191685199971
E01000017,0.317,0.28932267656156024,1.0,0,-0.02767732343843976,-8.731016857551975
E01000018,0.457,0.40268035672118907,1.0,0,-0.05431964327881095,-11.886136384860162
E01000019,0.645,0.33127365192559743,1.0,0,-0.3137263480744026,-48.639743887504274
E01000020,0.651,0.3052355315092651,1.0,0,-0.34576446849073494,-53.11282158075805
E01000021,0.559,0.6385175428596769,1.0,0,0.07951754285967683,14.224962944486014
E01000022,0.506,0.27815563262543325,1.0,0,-0.22784436737456676,-45.028531101693034
E01000023,1.286,0.8483292342904265,0.75,1,-0.43767076570957353,-34.03349655595439
E01000024,0.244,0.15674196012782665,1.0,0,-0.08725803987217334,-35.76149175089071
E01000025,0.837,0.47871557013856825,1.0,0,-0.3582844298614317,-42.805786124424344
E01000027,1.042,0.7601485802570902,1.0,0,-0.28185141974290984,-27.049080589530696
E01000028,-0.111,0.4893300430446038,1.0,0,0.6003300430446038,-540.8378766167601
E01000029,0.35,0.1341419409235059,1.0,0,-0.21585805907649408,-61.6737311647126
E01000030,0.499,0.8516839818460384,1.0,0,0.35268398184603844,70.67815267455681
E01000031,0.919,0.3543253465556608,1.0,0,-0.5646746534443392,-61.44446718654398
E01000032,0.913,0.5483734989503017,1.0,0,-0.3646265010496983,-39.937185219025004
E01000033,0.162,0.4092554323605732,1.0,0,0.2472554323605732,152.62681009911924
E01000034,0.302,0.31867264013610846,1.0,0,0.016672640136108474,5.520741766923336
E01000035,0.242,0.23924530982694872,1.0,0,-0.002754690173051272,-1.138301724401352
E01000036,0.386,0.061676181130687284,1.0,0,-0.3243238188693127,-84.02171473298257
E01000037,-0.067,-0.19168776351785832,1.0,0,-0.12468776351785832,186.10113957889303
E01000038,0.204,-0.11869912283262755,1.0,0,-0.3226991228326275,-158.18584452579782
E01000039,0.092,0.06874201384623166,1.0,0,-0.02325798615376834,-25.28041973235689
E01000040,0.607,0.4298192240256061,1.0,0,-0.1771807759743939,-29.189584180295537
E01000041,0.432,0.19335776470663935,1.0,0,-0.23864223529336065,-55.24125816975941
E01000042,0.263,0.5727784425565247,1.0,0,0.30977844255652465,117.78648005951507
E01000043,0.574,0.27746007166081815,1.0,0,-0.2965399283391818,-51.66200842146025
E01000044,1.077,0.48314033316266186,1.0,0,-0.5938596668373382,-55.1401733368002
E01000045,1.214,0.8283417319838842,1.0,0,-0.3856582680161158,-31.767567381887627
E01000046,-0.026,0.19819549580174503,1.0,0,0.22419549580174503,-862.2903684682502
E01000048,0.246,0.6808822843117146,0.75,1,0.4348822843117146,176.78141638687586
E01000049,0.376,0.5191109006794717,1.0,0,0.14311090067947174,38.06140975517865
E01000050,0.74,0.42123222467576743,1.0,0,-0.31876777532423256,-43.07672639516656
E01000051,0.859,0.7472240348967173,1.0,0,-0.11177596510328269,-13.012335867669698
E01000052,0.335,0.33310326477162777,1.0,0,-0.0018967352283722483,-0.5661896204096263
E01000053,1.217,0.79303711504248,1.0,0,-0.4239628849575201,-34.83672021014955
E01000054,0.514,0.3314500585750345,1.0,0,-0.1825499414249655,-35.51555280641352
E01000055,0.047,0.13371873586674324,1.0,0,0.08671873586674324,184.50794865264518
E01000056,0.485,0.6129961181685413,1.0,0,0.12799611816854128,26.390952199699235
E01000057,0.644,0.4115026133704475,1.0,0,-0.2324973866295525,-36.10207866918517
E01000058,0.358,0.4263671783009104,1.0,0,0.06836717830091044,19.09697717902526
E01000059,0.414,0.2783051382945312,1.0,0,-0.1356948617054688,-32.77653664383304
E01000060,1.109,0.9068760139064829,1.0,0,-0.20212398609351712,-18.225787745132294
E01000061,0.145,0.7205437101465424,1.0,0,0.5755437101465424,396.9266966527879
E01000062,0.558,0.4597677795371591,1.0,0,-0.09823222046284097,-17.604340584738527
E01000063,0.342,0.3731913826631554,1.0,0,0.031191382663155354,9.120287328407997
E01000064,0.212,0.4096822149135792,1.0,0,0.1976822149135792,93.24632778942416
E01000065,0.324,0.39158180695114875,1.0,0,0.06758180695114874,20.858582392329854
E01000066,-0.273,-0.016362927342985202,1.0,0,0.2566370726570148,-94.00625372051823
E01000067,0.381,0.18406451092655368,1.0,0,-0.19693548907344632,-51.6891047436867
E01000068,0.946,0.29067809645160525,1.0,0,-0.6553219035483947,-69.27292849348781
E01000069,0.032,-0.4207339618428665,1.0,0,-0.4527339618428665,-1414.793630758958
E01000070,0.84,0.38969340682655795,1.0,0,-0.450306593173442,-53.6079277587431
E01000071,-0.155,-0.029735042726144457,1.0,0,0.12526495727385553,-80.81610146700358
E01000072,1.197,0.883922785633535,1.0,0,-0.3130772143664651,-26.155155753255226
E01000073,1.346,0.7057231739731002,1.0,0,-0.6402768260268998,-47.56885780289002
E01000074,0.005,0.3248160802385559,1.0,0,0.3198160802385559,6396.321604771118
E01000075,1.057,0.6365932488632093,1.0,0,-0.4204067511367906,-39.77358099685814
E01000076,0.287,0.3319561639807104,1.0,0,0.044956163980710395,15.664168634393866
E01000077,0.487,0.46539120929780964,1.0,0,-0.02160879070219035,-4.437123347472351
E01000078,0.467,0.47957693360879633,1.0,0,0.012576933608796304,2.6931335350741548
E01000079,0.253,0.26041176024758833,1.0,0,0.007411760247588328,2.9295495049756237
E01000080,0.145,0.3326357207397229,1.0,0,0.18763572073972293,129.40394533773994
E01000081,0.192,0.1657686402123021,1.0,0,-0.026231359787697917,-13.662166556092666
E01000082,-0.221,0.3283143243087956,1.0,0,0.5493143243087956,-248.5585177867853
E01000083,0.434,0.32765928696557306,1.0,0,-0.10634071303442694,-24.502468441112196
E01000084,1.309,0.9788980227092676,1.0,0,-0.3301019772907323,-25.217874506549453
E01000085,1.036,0.8087469544199144,1.0,0,-0.22725304558008563,-21.935622160239927
E01000086,0.868,0.5270903775330767,1.0,0,-0.34090962246692325,-39.27530212752573
E01000087,0.135,0.3772452486879273,1.0,0,0.2422452486879273,179.4409249540202
E01000088,0.552,0.3872201825460756,1.0,0,-0.16477981745392445,-29.851416205421092
E01000089,0.189,0.3025742423450852,1.0,0,0.11357424234508517,60.09219171697628
E01000090,0.7,0.23535276849554249,1.0,0,-0.46464723150445747,-66.37817592920821
E01000091,0.994,0.860965149226776,1.0,0,-0.13303485077322397,-13.38378780414728
E01000092,0.657,0.6509096378853167,0.75,1,-0.006090362114683279,-0.9269957556595553
E01000093,1.073,0.994101565228555,1.0,0,-0.07889843477144498,-7.353069410199906
E01000094,0.524,0.25230236350448765,1.0,0,-0.2716976364955124,-51.8506939876932
E01000095,0.944,0.4549270908611385,1.0,0,-0.4890729091388615,-51.80857088335397
E01000096,1.284,0.8726415838049774,1.0,0,-0.41135841619502267,-32.037259828272795
E01000097,0.468,0.36789650064635465,1.0,0,-0.10010349935364538,-21.389636614026788
E01000098,0.911,0.5991186514983158,1.0,0,-0.31188134850168425,-34.23505472027269
E01000099,0.008,0.12431321885805946,1.0,0,0.11631321885805945,1453.9152357257433
E01000100,0.634,0.35319368337260454,1.0,0,-0.28080631662739547,-44.29121713365859
E01000101,0.832,0.5081678753507922,1.0,0,-0.32383212464920774,-38.92213036649132
E01000102,0.762,0.37792554740591755,1.0,0,-0.38407445259408246,-50.403471469039694
E01000103,0.58,0.4322927034124838,1.0,0,-0.14770729658751613,-25.46677527370968
E01000104,0.131,0.6504550777674735,1.0,0,0.5194550777674735,396.5305937156286
E01000105,1.039,1.0577281028598224,1.0,0,0.018728102859822515,1.8025123060464405
E01000106,0.786,1.0315105253274655,1.0,0,0.24551052532746542,31.2354357922984
E01000107,-0.027,0.052639407283390824,1.0,0,0.07963940728339082,-294.9607677162623
E01000108,0.183,0.46206456513329325,1.0,0,0.27906456513329325,152.4942978870455
E01000109,0.891,0.4445564425783891,0.75,1,-0.4464435574216109,-50.10589870051749
E01000110,-0.312,-0.27524108238588385,1.0,0,0.03675891761411615,-11.781704363498765
E01000111,0.313,0.42770914671896115,1.0,0,0.11470914671896115,36.64828968656906
E01000112,0.602,0.45605975715888475,1.0,0,-0.14594024284111523,-24.242565255999207
E01000113,0.708,0.48357144085365955,1.0,0,-0.2244285591463404,-31.698949031968986
E01000114,0.423,0.33233233485258973,1.0,0,-0.09066766514741026,-21.434436205061527
E01000115,-0.545,-0.8068090879618368,1.0,0,-0.2618090879618368,48.03836476363977
E01000116,-0.43,-0.6840442955161926,1.0,0,-0.2540442955161926,59.08006872469596
E01000117,-0.168,-0.23313973644092464,1.0,0,-0.06513973644092463,38.773652643407516
E01000118,-0.206,-0.42373067820024746,1.0,0,-0.21773067820024747,105.69450398070266
E01000119,0.627,-0.2787221741838711,1.0,0,-0.905722174183871,-144.45329731800174
E01000120,-0.568,-0.9316940721307447,1.0,0,-0.3636940721307448,64.0306465018917
E01000121,0.336,0.299090012352639,1.0,0,-0.03690998764736103,-10.985115371238402
E01000122,-0.622,-0.8126252747467775,1.0,0,-0.19062527474677748,30.647150280832392
E01000123,-0.684,-0.45669308186237656,1.0,0,0.2273069181376235,-33.23200557567595
E01000124,0.491,0.37806736411651864,1.0,0,-0.11293263588348135,-23.000536839812902
E01000125,0.586,0.6864675058315315,0.75,1,0.10046750583153152,17.144625568520738
E01000126,-0.164,0.22413187552547817,1.0,0,0.3881318755254782,-236.6657777594379
E01000127,0.424,0.18430825054889313,1.0,0,-0.23969174945110686,-56.53107298375162
E01000128,0.957,0.3877805098292434,1.0,0,-0.5692194901707566,-59.47957055075826
E01000129,1.004,0.8007166385610767,1.0,0,-0.20328336143892334,-20.247346756864875
E01000130,0.839,0.3433690453687481,1.0,0,-0.49563095463125184,-59.07401127905267
E01000131,1.133,0.2863773343987056,1.0,0,-0.8466226656012944,-74.72397754645141
E01000132,0.309,0.073799494296695,1.0,0,-0.235200505703305,-76.11666851239644
E01000133,0.065,0.1480538916568548,1.0,0,0.08305389165685481,127.77521793362278
E01000134,-0.195,-0.06430782692050602,1.0,0,0.130692173079494,-67.02162722025332
E01000135,0.385,-0.16060854051157428,1.0,0,-0.5456085405115743,-141.71650402898032
E01000136,0.188,-0.16031560318024118,1.0,0,-0.3483156031802412,-185.27425701076658
E01000137,0.348,0.3212865046082488,1.0,0,-0.026713495391751163,-7.6762917792388405
E01000138,1.066,0.48111036463634915,1.0,0,-0.5848896353636509,-54.86769562510796
E01000139,0.61,0.10675981892898455,1.0,0,-0.5032401810710154,-82.49839033951073
E01000140,-0.026,0.176585876847105,1.0,0,0.202585876847105,-779.1764494119423
E01000141,1.518,1.2698930524276313,1.0,0,-0.24810694757236873,-16.34433119712574
E01000142,-0.373,-0.04459371116709984,1.0,0,0.32840628883290013,-88.0445814565416
E01000143,0.763,0.5202318053169472,1.0,0,-0.24276819468305277,-31.817587769731688
E01000144,0.717,0.6630454158861583,1.0,0,-0.053954584113841686,-7.52504659886216
E01000145,0.196,0.030906047495133995,1.0,0,-0.16509395250486603,-84.23160842085001
